ano,idade_grupo,raca_cor,sexo,sigla_uf,total,escolaridade_grupo,treatment_code,ano_code,idade_grupo_code,raca_cor_code,sexo_code,sigla_uf_code
2012,idoso,1,1,RJ,142,baixa,0,0,0,0,0,2
2012,idoso,1,1,SP,372,baixa,0,0,0,0,0,3
2012,idoso,1,2,RJ,103,baixa,0,0,0,0,1,2
2012,idoso,1,2,SP,247,baixa,0,0,0,0,1,3
2012,meia-idade,1,1,SP,208,baixa,0,0,1,0,0,3
2019,idoso,1,1,SP,482,baixa,0,1,0,0,0,3
2019,idoso,1,2,PR,130,baixa,0,1,0,0,1,1
2019,idoso,1,2,SP,358,baixa,0,1,0,0,1,3
2020,idoso,1,1,SP,537,baixa,0,2,0,0,0,3
2020,idoso,1,2,SP,429,baixa,0,2,0,0,1,3
2020,idoso,4,1,BA,124,baixa,0,2,0,1,0,0
2020,idoso,4,2,SP,131,baixa,0,2,0,1,1,3
2021,idoso,1,1,SP,733,baixa,0,3,0,0,0,3
2021,idoso,1,2,PR,174,baixa,0,3,0,0,1,1
2021,idoso,1,2,SP,534,baixa,0,3,0,0,1,3
2021,idoso,4,1,BA,98,baixa,0,3,0,1,0,0
2021,idoso,4,1,SP,225,baixa,0,3,0,1,0,3
2021,idoso,4,2,RJ,124,baixa,0,3,0,1,1,2
2021,idoso,4,2,SP,167,baixa,0,3,0,1,1,3
2022,idoso,1,1,SP,542,baixa,0,4,0,0,0,3
2022,idoso,1,2,SP,371,baixa,0,4,0,0,1,3
