posterior_sample,level,risk
1,baixa,0.5554583668708801
1,media,0.5692680478096008
1,alta,0.5269960761070251
2,baixa,0.5343446135520935
2,media,0.5478551387786865
2,alta,0.5371885895729065
3,baixa,0.5578691959381104
3,media,0.5948575139045715
3,alta,0.5343462824821472
4,baixa,0.5495018362998962
4,media,0.6140004396438599
4,alta,0.5315504670143127
5,baixa,0.6487308740615845
5,media,0.6814566850662231
5,alta,0.6727116703987122
6,baixa,0.6027972102165222
6,media,0.59698885679245
6,alta,0.6254484057426453
7,baixa,0.4995769262313843
7,media,0.5244690179824829
7,alta,0.47778061032295227
8,baixa,0.5645741820335388
8,media,0.6304147839546204
8,alta,0.5442799925804138
9,baixa,0.5600964426994324
9,media,0.6243647336959839
9,alta,0.5793443918228149
10,baixa,0.5775039792060852
10,media,0.5927773714065552
10,alta,0.5540397763252258
