escolaridade_grupo,ano,idade_grupo,raca_cor,sexo,sigla_uf,successes,total,treatment_code,ano_code,idade_grupo_code,raca_cor_code,sexo_code,sigla_uf_code
baixa,2012,idoso,1,1,RJ,17,22,0,0,0,0,0,2
baixa,2012,idoso,1,1,SP,40,55,0,0,0,0,0,3
baixa,2012,idoso,1,2,RJ,14,21,0,0,0,0,1,2
baixa,2012,idoso,1,2,SP,48,67,0,0,0,0,1,3
baixa,2012,meia-idade,1,1,SP,15,23,0,0,1,0,0,3
baixa,2019,idoso,1,1,SP,14,22,0,1,0,0,0,3
baixa,2019,idoso,1,2,PR,14,20,0,1,0,0,1,1
baixa,2019,idoso,1,2,SP,30,37,0,1,0,0,1,3
baixa,2020,idoso,1,1,SP,15,24,0,2,0,0,0,3
baixa,2020,idoso,1,2,SP,15,35,0,2,0,0,1,3
baixa,2020,idoso,4,1,BA,19,31,0,2,0,1,0,0
baixa,2020,idoso,4,2,SP,15,26,0,2,0,1,1,3
baixa,2021,idoso,1,1,SP,15,31,0,3,0,0,0,3
baixa,2021,idoso,1,2,PR,11,25,0,3,0,0,1,1
baixa,2021,idoso,1,2,SP,14,35,0,3,0,0,1,3
baixa,2021,idoso,4,1,BA,14,20,0,3,0,1,0,0
baixa,2021,idoso,4,1,SP,10,21,0,3,0,1,0,3
baixa,2021,idoso,4,2,RJ,13,23,0,3,0,1,1,2
baixa,2021,idoso,4,2,SP,17,28,0,3,0,1,1,3
baixa,2022,idoso,1,1,SP,16,22,0,4,0,0,0,3
baixa,2022,idoso,1,2,SP,17,22,0,4,0,0,1,3
media,2012,idoso,1,1,RJ,62,83,1,0,0,0,0,2
media,2012,idoso,1,1,SP,183,258,1,0,0,0,0,3
media,2012,idoso,1,2,RJ,50,61,1,0,0,0,1,2
media,2012,idoso,1,2,SP,99,151,1,0,0,0,1,3
media,2012,meia-idade,1,1,SP,92,132,1,0,1,0,0,3
media,2019,idoso,1,1,SP,241,334,1,1,0,0,0,3
media,2019,idoso,1,2,PR,60,85,1,1,0,0,1,1
media,2019,idoso,1,2,SP,167,238,1,1,0,0,1,3
media,2020,idoso,1,1,SP,198,353,1,2,0,0,0,3
media,2020,idoso,1,2,SP,160,286,1,2,0,0,1,3
media,2020,idoso,4,1,BA,47,70,1,2,0,1,0,0
media,2020,idoso,4,2,SP,48,85,1,2,0,1,1,3
media,2021,idoso,1,1,SP,210,464,1,3,0,0,0,3
media,2021,idoso,1,2,PR,51,110,1,3,0,0,1,1
media,2021,idoso,1,2,SP,172,368,1,3,0,0,1,3
media,2021,idoso,4,1,BA,34,57,1,3,0,1,0,0
media,2021,idoso,4,1,SP,91,155,1,3,0,1,0,3
media,2021,idoso,4,2,RJ,45,77,1,3,0,1,1,2
media,2021,idoso,4,2,SP,60,103,1,3,0,1,1,3
media,2022,idoso,1,1,SP,230,326,1,4,0,0,0,3
media,2022,idoso,1,2,SP,157,246,1,4,0,0,1,3
alta,2012,idoso,1,1,RJ,30,37,2,0,0,0,0,2
alta,2012,idoso,1,1,SP,40,59,2,0,0,0,0,3
alta,2012,idoso,1,2,RJ,13,21,2,0,0,0,1,2
alta,2012,idoso,1,2,SP,23,29,2,0,0,0,1,3
alta,2012,meia-idade,1,1,SP,34,53,2,0,1,0,0,3
alta,2019,idoso,1,1,SP,91,126,2,1,0,0,0,3
alta,2019,idoso,1,2,PR,16,25,2,1,0,0,1,1
alta,2019,idoso,1,2,SP,57,83,2,1,0,0,1,3
alta,2020,idoso,1,1,SP,81,160,2,2,0,0,0,3
alta,2020,idoso,1,2,SP,62,108,2,2,0,0,1,3
alta,2020,idoso,4,1,BA,14,23,2,2,0,1,0,0
alta,2020,idoso,4,2,SP,10,20,2,2,0,1,1,3
alta,2021,idoso,1,1,SP,118,238,2,3,0,0,0,3
alta,2021,idoso,1,2,PR,15,39,2,3,0,0,1,1
alta,2021,idoso,1,2,SP,64,131,2,3,0,0,1,3
alta,2021,idoso,4,1,BA,14,21,2,3,0,1,0,0
alta,2021,idoso,4,1,SP,18,49,2,3,0,1,0,3
alta,2021,idoso,4,2,RJ,7,24,2,3,0,1,1,2
alta,2021,idoso,4,2,SP,18,36,2,3,0,1,1,3
alta,2022,idoso,1,1,SP,121,194,2,4,0,0,0,3
alta,2022,idoso,1,2,SP,71,103,2,4,0,0,1,3
