ano,idade_grupo,raca_cor,sexo,sigla_uf,escolaridade_grupo,n
2012,adulto,1,1,AC,alta,3
2012,adulto,1,1,AC,baixa,2
2012,adulto,1,1,AC,media,3
2012,adulto,1,1,AL,alta,8
2012,adulto,1,1,AL,baixa,32
2012,adulto,1,1,AL,media,38
2012,adulto,1,1,AM,alta,46
2012,adulto,1,1,AM,baixa,9
2012,adulto,1,1,AM,media,76
2012,adulto,1,1,AP,alta,5
2012,adulto,1,1,AP,baixa,1
2012,adulto,1,1,AP,media,2
2012,adulto,1,1,BA,alta,63
2012,adulto,1,1,BA,baixa,47
2012,adulto,1,1,BA,media,183
2012,adulto,1,1,CE,alta,71
2012,adulto,1,1,CE,baixa,44
2012,adulto,1,1,CE,media,243
2012,adulto,1,1,DF,alta,50
2012,adulto,1,1,DF,baixa,8
2012,adulto,1,1,DF,media,104
2012,adulto,1,1,ES,alta,51
2012,adulto,1,1,ES,baixa,46
2012,adulto,1,1,ES,media,128
2012,adulto,1,1,GO,alta,149
2012,adulto,1,1,GO,baixa,38
2012,adulto,1,1,GO,media,312
2012,adulto,1,1,MA,alta,98
2012,adulto,1,1,MA,baixa,29
2012,adulto,1,1,MA,media,185
2012,adulto,1,1,MG,alta,449
2012,adulto,1,1,MG,baixa,152
2012,adulto,1,1,MG,media,966
2012,adulto,1,1,MS,alta,122
2012,adulto,1,1,MS,baixa,19
2012,adulto,1,1,MS,media,163
2012,adulto,1,1,MT,alta,104
2012,adulto,1,1,MT,baixa,15
2012,adulto,1,1,MT,media,244
2012,adulto,1,1,PA,alta,70
2012,adulto,1,1,PA,baixa,19
2012,adulto,1,1,PA,media,167
2012,adulto,1,1,PB,alta,18
2012,adulto,1,1,PB,baixa,21
2012,adulto,1,1,PB,media,58
2012,adulto,1,1,PE,alta,102
2012,adulto,1,1,PE,baixa,82
2012,adulto,1,1,PE,media,302
2012,adulto,1,1,PI,alta,40
2012,adulto,1,1,PI,baixa,21
2012,adulto,1,1,PI,media,91
2012,adulto,1,1,PR,alta,1140
2012,adulto,1,1,PR,baixa,134
2012,adulto,1,1,PR,media,2336
2012,adulto,1,1,RJ,alta,468
2012,adulto,1,1,RJ,baixa,104
2012,adulto,1,1,RJ,media,982
2012,adulto,1,1,RN,alta,29
2012,adulto,1,1,RN,baixa,45
2012,adulto,1,1,RN,media,88
2012,adulto,1,1,RO,alta,22
2012,adulto,1,1,RO,baixa,4
2012,adulto,1,1,RO,media,51
2012,adulto,1,1,RR,alta,7
2012,adulto,1,1,RR,baixa,1
2012,adulto,1,1,RR,media,11
2012,adulto,1,1,RS,alta,526
2012,adulto,1,1,RS,baixa,170
2012,adulto,1,1,RS,media,1306
2012,adulto,1,1,SC,alta,580
2012,adulto,1,1,SC,baixa,52
2012,adulto,1,1,SC,media,917
2012,adulto,1,1,SE,alta,42
2012,adulto,1,1,SE,baixa,13
2012,adulto,1,1,SE,media,68
2012,adulto,1,1,SP,alta,2109
2012,adulto,1,1,SP,baixa,711
2012,adulto,1,1,SP,media,3442
2012,adulto,1,1,TO,alta,30
2012,adulto,1,1,TO,baixa,7
2012,adulto,1,1,TO,media,35
2012,adulto,1,2,AC,media,11
2012,adulto,1,2,AL,alta,5
2012,adulto,1,2,AL,baixa,11
2012,adulto,1,2,AL,media,19
2012,adulto,1,2,AM,alta,51
2012,adulto,1,2,AM,baixa,5
2012,adulto,1,2,AM,media,43
2012,adulto,1,2,AP,alta,4
2012,adulto,1,2,AP,media,10
2012,adulto,1,2,BA,alta,51
2012,adulto,1,2,BA,baixa,32
