bootstrap_iteration,bootstrap_sample_size,bootstrap_evaluation_sample_size,contrast,treated_level,reference_level,n_used,n_removed_no_common_support,risk_treated,risk_reference,risk_difference,risk_ratio,model_type,support_type,crossfit_folds
1,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6656839851597334,0.6759320459439158,-0.010248060784182389,0.9848386226904343,xgb_3class,global_three_level_common_support_min_cell_20,1
1,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6390864212616394,0.6759320459439158,-0.03684562468227637,0.9454891584096701,xgb_3class,global_three_level_common_support_min_cell_20,1
1,100000,100000,alta_vs_media,alta,media,93339,6661,0.6390864212616394,0.6656839851597334,-0.02659756389809398,0.960044759238557,xgb_3class,global_three_level_common_support_min_cell_20,1
2,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6658243857690331,0.6762809200945671,-0.01045653432553395,0.9845381793056179,xgb_3class,global_three_level_common_support_min_cell_20,1
2,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.638727533101506,0.6762809200945671,-0.0375533869930611,0.9444707282473533,xgb_3class,global_three_level_common_support_min_cell_20,1
2,100000,100000,alta_vs_media,alta,media,93339,6661,0.638727533101506,0.6658243857690331,-0.02709685266752715,0.9593033039241571,xgb_3class,global_three_level_common_support_min_cell_20,1
3,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6658912205211176,0.6749592939747202,-0.00906807345360261,0.9865650069055242,xgb_3class,global_three_level_common_support_min_cell_20,1
3,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6387893131686099,0.6749592939747202,-0.036169980806110336,0.9464116115905131,xgb_3class,global_three_level_common_support_min_cell_20,1
3,100000,100000,alta_vs_media,alta,media,93339,6661,0.6387893131686099,0.6658912205211176,-0.027101907352507726,0.9592997977488003,xgb_3class,global_three_level_common_support_min_cell_20,1
4,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6658288177276535,0.6767180823426173,-0.010889264614963867,0.9839087133932226,xgb_3class,global_three_level_common_support_min_cell_20,1
4,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6390168612762851,0.6767180823426173,-0.037701221066332224,0.9442881429504283,xgb_3class,global_three_level_common_support_min_cell_20,1
4,100000,100000,alta_vs_media,alta,media,93339,6661,0.6390168612762851,0.6658288177276535,-0.026811956451368357,0.9597314568887654,xgb_3class,global_three_level_common_support_min_cell_20,1
5,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6655222535365253,0.6766858028163654,-0.01116354927984009,0.9835026104679936,xgb_3class,global_three_level_common_support_min_cell_20,1
5,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6390252254711838,0.6766858028163654,-0.03766057734518158,0.9443455482759675,xgb_3class,global_three_level_common_support_min_cell_20,1
5,100000,100000,alta_vs_media,alta,media,93339,6661,0.6390252254711838,0.6655222535365253,-0.026497028065341488,0.9601861125987318,xgb_3class,global_three_level_common_support_min_cell_20,1
6,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.66573886915067,0.6750955452525252,-0.0093566761018552,0.9861402194583357,xgb_3class,global_three_level_common_support_min_cell_20,1
6,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6386885953751763,0.6750955452525252,-0.03640694987734894,0.9460714114714968,xgb_3class,global_three_level_common_support_min_cell_20,1
6,100000,100000,alta_vs_media,alta,media,93339,6661,0.6386885953751763,0.66573886915067,-0.02705027377549374,0.9593680419921948,xgb_3class,global_three_level_common_support_min_cell_20,1
7,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6657784469873234,0.6756463565607,-0.009867909573376688,0.9853948600809332,xgb_3class,global_three_level_common_support_min_cell_20,1
7,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.639081965838935,0.6756463565607,-0.036564390721765094,0.9458823534431653,xgb_3class,global_three_level_common_support_min_cell_20,1
7,100000,100000,alta_vs_media,alta,media,93339,6661,0.639081965838935,0.6657784469873234,-0.026696481148388407,0.9599018543342892,xgb_3class,global_three_level_common_support_min_cell_20,1
8,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6657475740071215,0.6769085464248572,-0.011160972417735726,0.9835118459108203,xgb_3class,global_three_level_common_support_min_cell_20,1
8,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6391861737820634,0.6769085464248572,-0.03772237264279377,0.9442725714691781,xgb_3class,global_three_level_common_support_min_cell_20,1
8,100000,100000,alta_vs_media,alta,media,93339,6661,0.6391861737820634,0.6657475740071215,-0.02656140022505804,0.9601028959592215,xgb_3class,global_three_level_common_support_min_cell_20,1
9,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.665749210262331,0.6760667542879185,-0.010317544025587488,0.9847388679296105,xgb_3class,global_three_level_common_support_min_cell_20,1
9,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6384380383684735,0.6760667542879185,-0.037628715919445055,0.9443417152510653,xgb_3class,global_three_level_common_support_min_cell_20,1
9,100000,100000,alta_vs_media,alta,media,93339,6661,0.6384380383684735,0.665749210262331,-0.027311171893857566,0.9589767866444845,xgb_3class,global_three_level_common_support_min_cell_20,1
10,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6657124191908861,0.675920338293676,-0.010207919102789953,0.9848977482634133,xgb_3class,global_three_level_common_support_min_cell_20,1
10,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6389189779727458,0.675920338293676,-0.037001360320930266,0.9452578089093484,xgb_3class,global_three_level_common_support_min_cell_20,1
10,100000,100000,alta_vs_media,alta,media,93339,6661,0.6389189779727458,0.6657124191908861,-0.026793441218140313,0.9597522286714955,xgb_3class,global_three_level_common_support_min_cell_20,1
11,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6657194424430369,0.6738089394320708,-0.008089496989033829,0.9879943756818481,xgb_3class,global_three_level_common_support_min_cell_20,1
11,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6389349976118581,0.6738089394320708,-0.03487394182021264,0.9482435750264657,xgb_3class,global_three_level_common_support_min_cell_20,1
11,100000,100000,alta_vs_media,alta,media,93339,6661,0.6389349976118581,0.6657194424430369,-0.02678444483117881,0.9597661670614785,xgb_3class,global_three_level_common_support_min_cell_20,1
12,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6657379701983991,0.6763803157215506,-0.010642345523151464,0.9842657373732138,xgb_3class,global_three_level_common_support_min_cell_20,1
12,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.638516912758357,0.6763803157215506,-0.03786340296319357,0.9440205427581057,xgb_3class,global_three_level_common_support_min_cell_20,1
12,100000,100000,alta_vs_media,alta,media,93339,6661,0.638516912758357,0.6657379701983991,-0.027221057440042107,0.9591114542679159,xgb_3class,global_three_level_common_support_min_cell_20,1
13,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6657986956500516,0.6759962864359185,-0.010197590785866906,0.9849147236597525,xgb_3class,global_three_level_common_support_min_cell_20,1
13,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6387542955929966,0.6759962864359185,-0.0372419908429219,0.9449079949251286,xgb_3class,global_three_level_common_support_min_cell_20,1
13,100000,100000,alta_vs_media,alta,media,93339,6661,0.6387542955929966,0.6657986956500516,-0.027044400057054996,0.9593805151110273,xgb_3class,global_three_level_common_support_min_cell_20,1
