bootstrap_iteration,bootstrap_sample_size,bootstrap_evaluation_sample_size,contrast,treated_level,reference_level,n_used,n_removed_no_common_support,risk_treated,risk_reference,risk_difference,risk_ratio,model_type,support_type
1,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6683503522251574,0.6824060301857955,-0.014055677960638113,0.9794027641332371,xgb,pairwise_common_support_min_cell_20
1,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6377739271790168,0.6699775977580295,-0.03220367057901263,0.9519332128614794,xgb,pairwise_common_support_min_cell_20
1,100000,100000,alta_vs_media,alta,media,86162,1447,0.6437831230919135,0.669630786773846,-0.025847663681932476,0.961400126469003,xgb,pairwise_common_support_min_cell_20
2,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6682486480193967,0.6831603672583128,-0.014911719238916099,0.9781724468315391,xgb,pairwise_common_support_min_cell_20
2,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6376308874598268,0.6708908442863799,-0.03325995682655314,0.9504241902988981,xgb,pairwise_common_support_min_cell_20
2,100000,100000,alta_vs_media,alta,media,86162,1447,0.643955291284623,0.6696271887500204,-0.02567189746539733,0.9616624027567958,xgb,pairwise_common_support_min_cell_20
3,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6684446038924949,0.6828737849618641,-0.01442918106936919,0.9788699150748992,xgb,pairwise_common_support_min_cell_20
3,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6369279230011159,0.6712841393702536,-0.03435621636913766,0.9488201577332543,xgb,pairwise_common_support_min_cell_20
3,100000,100000,alta_vs_media,alta,media,86162,1447,0.643969202197539,0.6696735562007808,-0.02570435400324189,0.9616165910013397,xgb,pairwise_common_support_min_cell_20
4,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.668404995614048,0.6830814765954001,-0.014676480981352102,0.9785143039531649,xgb,pairwise_common_support_min_cell_20
4,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6371017867641926,0.670766062236196,-0.03366427547200335,0.9498121962823021,xgb,pairwise_common_support_min_cell_20
4,100000,100000,alta_vs_media,alta,media,86162,1447,0.6440494531707454,0.6696319568300362,-0.025582503659290823,0.9617961726611801,xgb,pairwise_common_support_min_cell_20
5,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.668148643601884,0.6831930937812528,-0.01504445017936884,0.9779792121490827,xgb,pairwise_common_support_min_cell_20
5,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6370381044878998,0.6705655351162451,-0.03352743062834529,0.9500012618117435,xgb,pairwise_common_support_min_cell_20
5,100000,100000,alta_vs_media,alta,media,86162,1447,0.6439055337719392,0.6696778125869899,-0.02577227881505073,0.9615154058703371,xgb,pairwise_common_support_min_cell_20
6,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6683077715099328,0.6817705582995506,-0.013462786789617764,0.980253200104158,xgb,pairwise_common_support_min_cell_20
6,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6371601769107388,0.6691973575537224,-0.032037180642983665,0.9521259606282714,xgb,pairwise_common_support_min_cell_20
6,100000,100000,alta_vs_media,alta,media,86162,1447,0.6440344188242327,0.6696318335149464,-0.025597414690713638,0.9617738981189844,xgb,pairwise_common_support_min_cell_20
7,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6683954983704546,0.683478572316279,-0.01508307394582431,0.9779318993209861,xgb,pairwise_common_support_min_cell_20
7,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6377412178800067,0.6701072491186186,-0.032366031238611925,0.9517002221940108,xgb,pairwise_common_support_min_cell_20
7,100000,100000,alta_vs_media,alta,media,86162,1447,0.6437916139543778,0.6696447170872246,-0.025853103132846833,0.9613928065537485,xgb,pairwise_common_support_min_cell_20
8,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6683482758643283,0.6834411650352277,-0.015092889170899348,0.9779163299738882,xgb,pairwise_common_support_min_cell_20
8,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.63758747685612,0.6711138062801314,-0.03352632942401135,0.9500437494948256,xgb,pairwise_common_support_min_cell_20
8,100000,100000,alta_vs_media,alta,media,86162,1447,0.6438572512571095,0.6696704811319085,-0.02581322987479906,0.9614538334866302,xgb,pairwise_common_support_min_cell_20
9,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6682815860237263,0.6831260536689111,-0.014844467645184767,0.9782697972570968,xgb,pairwise_common_support_min_cell_20
9,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6368751842744189,0.6704773804864369,-0.03360219621201799,0.9498831769870606,xgb,pairwise_common_support_min_cell_20
9,100000,100000,alta_vs_media,alta,media,86162,1447,0.6435867733303567,0.6696539847706029,-0.026067211440246152,0.9610736110990578,xgb,pairwise_common_support_min_cell_20
10,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6684382558900324,0.6821574855967271,-0.013719229706694702,0.9798884715093412,xgb,pairwise_common_support_min_cell_20
10,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6373839638200033,0.6701533144578699,-0.03276935063786657,0.9511017107117111,xgb,pairwise_common_support_min_cell_20
10,100000,100000,alta_vs_media,alta,media,86162,1447,0.6441915586388397,0.6695572247258436,-0.025365666087003857,0.9621157607590747,xgb,pairwise_common_support_min_cell_20
11,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6683498556475904,0.6803800579184393,-0.012030202270848833,0.9823184084676818,xgb,pairwise_common_support_min_cell_20
11,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6371410381288864,0.667029067723949,-0.029888029595062537,0.9551923131370464,xgb,pairwise_common_support_min_cell_20
11,100000,100000,alta_vs_media,alta,media,86162,1447,0.6439843986020072,0.669612162630345,-0.025627764028337774,0.9617274514135649,xgb,pairwise_common_support_min_cell_20
12,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6682421500848885,0.6829388126148866,-0.014696662529998128,0.9784802646173726,xgb,pairwise_common_support_min_cell_20
12,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6369441140324417,0.6710535433433882,-0.034109429310946515,0.9491703312659625,xgb,pairwise_common_support_min_cell_20
12,100000,100000,alta_vs_media,alta,media,86162,1447,0.6436228097149514,0.669686388580363,-0.026063578865411552,0.9610809189049482,xgb,pairwise_common_support_min_cell_20
13,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6683042898480441,0.6833243361744892,-0.015020046326445047,0.9780191549879037,xgb,pairwise_common_support_min_cell_20
13,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6375623442673095,0.6697144166469232,-0.032152072379613705,0.9519913688873679,xgb,pairwise_common_support_min_cell_20
13,100000,100000,alta_vs_media,alta,media,86162,1447,0.6438623677417029,0.6697200716866658,-0.025857703944962895,0.9613902807484309,xgb,pairwise_common_support_min_cell_20
14,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6681721274138445,0.6833236490483915,-0.015151521634547027,0.9778267272680415,xgb,pairwise_common_support_min_cell_20
14,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6374994282876354,0.6702372981411934,-0.03273786985355798,0.9511548074922841,xgb,pairwise_common_support_min_cell_20
14,100000,100000,alta_vs_media,alta,media,86162,1447,0.6437903407247594,0.6697630828185639,-0.025972742093804513,0.9612210007387935,xgb,pairwise_common_support_min_cell_20
15,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6683770354710262,0.6822679413823224,-0.013890905911296159,0.9796401016832885,xgb,pairwise_common_support_min_cell_20
15,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.637468270925275,0.6698114680426511,-0.0323431971173761,0.9517129839357773,xgb,pairwise_common_support_min_cell_20
15,100000,100000,alta_vs_media,alta,media,86162,1447,0.6438154368706024,0.6694894882564038,-0.025674051385801366,0.961651300227781,xgb,pairwise_common_support_min_cell_20
16,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.668338428837775,0.6829884962358448,-0.014650067398069844,0.9785500524843233,xgb,pairwise_common_support_min_cell_20
16,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6372624276482094,0.6708907888058624,-0.033628361157653,0.9498750590725666,xgb,pairwise_common_support_min_cell_20
16,100000,100000,alta_vs_media,alta,media,86162,1447,0.6438419409442666,0.6696531263919148,-0.025811185447648155,0.9614558874880215,xgb,pairwise_common_support_min_cell_20
17,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6682127054804765,0.6826272328264178,-0.014414527345941286,0.9788837499402743,xgb,pairwise_common_support_min_cell_20
17,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6375028518385752,0.66958235499887,-0.03207950316029473,0.9520902799770629,xgb,pairwise_common_support_min_cell_20
17,100000,100000,alta_vs_media,alta,media,86162,1447,0.6437657653741441,0.669720291273927,-0.025954525899782865,0.9612457226726507,xgb,pairwise_common_support_min_cell_20
18,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6682826392512182,0.6826883231581009,-0.014405683906882683,0.9788985933723865,xgb,pairwise_common_support_min_cell_20
18,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6373557052112239,0.6702765962015342,-0.03292089099031037,0.9508846181160532,xgb,pairwise_common_support_min_cell_20
18,100000,100000,alta_vs_media,alta,media,86162,1447,0.6439852331484128,0.669539044617993,-0.025553811469580134,0.9618337247469116,xgb,pairwise_common_support_min_cell_20
19,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6683009206796329,0.6834268325465793,-0.015125911866946451,0.9778675475608933,xgb,pairwise_common_support_min_cell_20
19,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6372879458239532,0.6709785161275942,-0.033690570303640976,0.9497888986102286,xgb,pairwise_common_support_min_cell_20
19,100000,100000,alta_vs_media,alta,media,86162,1447,0.6440009898826801,0.6696540262848796,-0.025653036402199514,0.9616921045864266,xgb,pairwise_common_support_min_cell_20
20,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.668317176523131,0.6837677392822001,-0.015450562759069086,0.9774037851284287,xgb,pairwise_common_support_min_cell_20
20,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6376149644904915,0.6707984057076498,-0.03318344121715833,0.9505314250379712,xgb,pairwise_common_support_min_cell_20
20,100000,100000,alta_vs_media,alta,media,86162,1447,0.6440579794020334,0.6694635703574224,-0.02540559095538908,0.9620508238531558,xgb,pairwise_common_support_min_cell_20
21,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6683317201551185,0.6824029963542558,-0.014071276199137284,0.9793798147512347,xgb,pairwise_common_support_min_cell_20
21,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6372073165316494,0.6702744344767716,-0.03306711794512218,0.9506662998851583,xgb,pairwise_common_support_min_cell_20
21,100000,100000,alta_vs_media,alta,media,86162,1447,0.6439267765974489,0.6696701171367848,-0.025743340539335913,0.9615581763609177,xgb,pairwise_common_support_min_cell_20
22,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6682761179427401,0.6832663601894178,-0.014990242246677665,0.9780609098880237,xgb,pairwise_common_support_min_cell_20
22,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6371198488944724,0.6702428150696103,-0.03312296617513788,0.950580647146963,xgb,pairwise_common_support_min_cell_20
22,100000,100000,alta_vs_media,alta,media,86162,1447,0.6442225292671244,0.6695921844864701,-0.025369655219345644,0.9621117811600469,xgb,pairwise_common_support_min_cell_20
23,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6682192891201726,0.6823272751414375,-0.014107986021264951,0.9793237255269613,xgb,pairwise_common_support_min_cell_20
23,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6369396234160666,0.6693022009511894,-0.03236257753512284,0.9516472865483928,xgb,pairwise_common_support_min_cell_20
23,100000,100000,alta_vs_media,alta,media,86162,1447,0.6439333500409959,0.6696495598897555,-0.025716209848759553,0.9615975110130839,xgb,pairwise_common_support_min_cell_20
24,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6681943268108665,0.6832409137373394,-0.015046586926472871,0.9779776260116395,xgb,pairwise_common_support_min_cell_20
24,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.636956809097013,0.670850659281937,-0.03389385018492397,0.9494763108361507,xgb,pairwise_common_support_min_cell_20
24,100000,100000,alta_vs_media,alta,media,86162,1447,0.6439120085991102,0.6696138094997292,-0.02570180090061891,0.9616169790168742,xgb,pairwise_common_support_min_cell_20
25,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6682246875909212,0.683862343960906,-0.01563765636998471,0.9771333273310358,xgb,pairwise_common_support_min_cell_20
25,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.637072429654603,0.6713948381428653,-0.03432240848826229,0.9488789508969104,xgb,pairwise_common_support_min_cell_20
