posterior_sample,level,risk
1,baixa,0.6882100105285645
1,media,0.6678389310836792
1,alta,0.637350857257843
2,baixa,0.6848528981208801
2,media,0.6649631857872009
2,alta,0.6341087818145752
3,baixa,0.6856579184532166
3,media,0.6663267612457275
3,alta,0.6359543800354004
4,baixa,0.6857733130455017
4,media,0.6655106544494629
4,alta,0.634403645992279
5,baixa,0.6872698664665222
5,media,0.6677890419960022
5,alta,0.6363404989242554
6,baixa,0.6866148710250854
6,media,0.6678995490074158
6,alta,0.6359008550643921
7,baixa,0.6856557726860046
7,media,0.6664871573448181
7,alta,0.6356238126754761
8,baixa,0.6862239241600037
8,media,0.6670048236846924
8,alta,0.6367874145507812
9,baixa,0.6849790811538696
9,media,0.6645991206169128
9,alta,0.6346001029014587
10,baixa,0.6857647895812988
10,media,0.6652966141700745
10,alta,0.6351568698883057
11,baixa,0.6862594485282898
11,media,0.666175901889801
11,alta,0.636132538318634
12,baixa,0.6853728890419006
12,media,0.6650184988975525
12,alta,0.6350073218345642
13,baixa,0.685136079788208
13,media,0.6650421619415283
13,alta,0.6344155669212341
14,baixa,0.6850446462631226
14,media,0.6659711599349976
14,alta,0.6340872645378113
15,baixa,0.6877310872077942
15,media,0.6685032844543457
15,alta,0.6366695761680603
16,baixa,0.6868183016777039
16,media,0.6674312353134155
16,alta,0.6364051699638367
17,baixa,0.6850593686103821
17,media,0.6656562089920044
17,alta,0.6354279518127441
18,baixa,0.6860150694847107
18,media,0.666066586971283
18,alta,0.6349376440048218
19,baixa,0.6856139302253723
19,media,0.6656083464622498
19,alta,0.6357331871986389
20,baixa,0.6853684186935425
20,media,0.6645914316177368
20,alta,0.6348274350166321
21,baixa,0.6858590841293335
21,media,0.6657665967941284
21,alta,0.6348026990890503
22,baixa,0.6861680150032043
22,media,0.6659656763076782
22,alta,0.6366226673126221
23,baixa,0.6864146590232849
23,media,0.667113721370697
23,alta,0.6360624432563782
24,baixa,0.6860246658325195
24,media,0.6663966178894043
24,alta,0.6348727941513062
25,baixa,0.6855683922767639
25,media,0.6644511222839355
25,alta,0.6352390646934509
26,baixa,0.6864625811576843
26,media,0.6668132543563843
26,alta,0.6355101466178894
27,baixa,0.6873698830604553
27,media,0.6672689318656921
27,alta,0.6366931200027466
28,baixa,0.6851032376289368
28,media,0.6662155389785767
28,alta,0.6346282362937927
29,baixa,0.6859825849533081
29,media,0.6658138036727905
29,alta,0.6357244849205017
30,baixa,0.6863845586776733
30,media,0.6666977405548096
30,alta,0.6372076272964478
31,baixa,0.6856796145439148
31,media,0.6668034791946411
31,alta,0.6369061470031738
32,baixa,0.6867691278457642
32,media,0.6672960519790649
32,alta,0.6364270448684692
33,baixa,0.6870613098144531
33,media,0.6679633259773254
33,alta,0.6371356844902039
34,baixa,0.6849068403244019
34,media,0.6649670600891113
34,alta,0.635674774646759
35,baixa,0.685940682888031
35,media,0.6673332452774048
35,alta,0.6353498101234436
36,baixa,0.6864443421363831
36,media,0.6677046418190002
36,alta,0.635655403137207
37,baixa,0.6842373013496399
37,media,0.6654067635536194
37,alta,0.6334477663040161
38,baixa,0.6865163445472717
38,media,0.6661860942840576
38,alta,0.6355426907539368
39,baixa,0.6855480670928955
39,media,0.6650867462158203
39,alta,0.6360024809837341
40,baixa,0.6870973110198975
40,media,0.6673091053962708
40,alta,0.6362888216972351
41,baixa,0.6870459318161011
41,media,0.6677713394165039
41,alta,0.6370884776115417
42,baixa,0.6846398115158081
42,media,0.6643029451370239
42,alta,0.6329116225242615
43,baixa,0.6856017112731934
43,media,0.665833055973053
43,alta,0.6369060277938843
44,baixa,0.6864634156227112
44,media,0.6666889190673828
44,alta,0.6355214715003967
45,baixa,0.6864838600158691
45,media,0.6662895083427429
45,alta,0.6370185017585754
46,baixa,0.6858024597167969
46,media,0.6663828492164612
46,alta,0.6355244517326355
47,baixa,0.6857528686523438
47,media,0.6657910943031311
47,alta,0.6354671716690063
48,baixa,0.6859714984893799
48,media,0.6666688323020935
48,alta,0.6347421407699585
49,baixa,0.6868156790733337
49,media,0.6676770448684692
49,alta,0.6366435289382935
50,baixa,0.6860319972038269
50,media,0.6658342480659485
50,alta,0.635475754737854
51,baixa,0.6851656436920166
51,media,0.6654054522514343
51,alta,0.6345587968826294
52,baixa,0.6859741806983948
52,media,0.6664050221443176
52,alta,0.6362882256507874
53,baixa,0.6873424053192139
53,media,0.6675944328308105
53,alta,0.6371067762374878
54,baixa,0.6855315566062927
54,media,0.6665341854095459
54,alta,0.6346943378448486
55,baixa,0.6851986050605774
55,media,0.6656774282455444
55,alta,0.6354207396507263
56,baixa,0.6876221895217896
56,media,0.6673612594604492
56,alta,0.6365102529525757
57,baixa,0.6849849820137024
57,media,0.665433943271637
57,alta,0.6344576478004456
58,baixa,0.686828076839447
58,media,0.6669098138809204
58,alta,0.6358641982078552
59,baixa,0.6852494478225708
