posterior_sample,level,risk
1,baixa,0.6952338814735413
1,media,0.6717181205749512
1,alta,0.6402456164360046
2,baixa,0.6918166279792786
2,media,0.6686941385269165
2,alta,0.6368359327316284
3,baixa,0.6925449371337891
3,media,0.6699259877204895
3,alta,0.6384075880050659
4,baixa,0.6926320195198059
4,media,0.6691821813583374
4,alta,0.6371666193008423
5,baixa,0.6940603256225586
5,media,0.6713185906410217
5,alta,0.638974666595459
6,baixa,0.6934992671012878
6,media,0.6714337468147278
6,alta,0.6385713219642639
7,baixa,0.6926406025886536
7,media,0.6701670289039612
7,alta,0.6382421255111694
8,baixa,0.6930921673774719
8,media,0.6705758571624756
8,alta,0.6391729116439819
9,baixa,0.6919282078742981
9,media,0.6683750748634338
9,alta,0.6372529864311218
10,baixa,0.6926201581954956
10,media,0.6689884662628174
10,alta,0.6377622485160828
11,baixa,0.6930003762245178
11,media,0.6697112917900085
11,alta,0.6385260820388794
12,baixa,0.6922721266746521
12,media,0.6687395572662354
12,alta,0.6376009583473206
13,baixa,0.6920965313911438
13,media,0.6687965989112854
13,alta,0.6371460556983948
14,baixa,0.6917656064033508
14,media,0.6693636775016785
14,alta,0.6366034150123596
15,baixa,0.6945290565490723
15,media,0.6720172166824341
15,alta,0.6393502950668335
16,baixa,0.6937204599380493
16,media,0.6710600852966309
16,alta,0.6390381455421448
17,baixa,0.691920280456543
17,media,0.6692309975624084
17,alta,0.6378253698348999
18,baixa,0.6929000020027161
18,media,0.6697345972061157
18,alta,0.6376783847808838
19,baixa,0.6925092935562134
19,media,0.6692878603935242
19,alta,0.6382249593734741
20,baixa,0.6920710206031799
20,media,0.6681548357009888
20,alta,0.637244701385498
21,baixa,0.6928064227104187
21,media,0.66951584815979
21,alta,0.6376100182533264
22,baixa,0.6930637359619141
22,media,0.6696743965148926
22,alta,0.6390635371208191
23,baixa,0.6932801008224487
23,media,0.6706923246383667
23,alta,0.6386365294456482
24,baixa,0.6929571628570557
24,media,0.6700770258903503
24,alta,0.6376760601997375
25,baixa,0.6923843622207642
25,media,0.6681722402572632
25,alta,0.6377416253089905
26,baixa,0.6934229135513306
26,media,0.6705279350280762
26,alta,0.6383091807365417
27,baixa,0.6941914558410645
27,media,0.670900821685791
27,alta,0.6393135786056519
28,baixa,0.6920248866081238
28,media,0.6697936058044434
28,alta,0.6372564435005188
29,baixa,0.6929177641868591
29,media,0.6695576310157776
29,alta,0.6383495330810547
30,baixa,0.6932722330093384
30,media,0.670344352722168
30,alta,0.6395718455314636
31,baixa,0.6925889253616333
31,media,0.6703736186027527
31,alta,0.6391860842704773
32,baixa,0.6936026215553284
32,media,0.6708664298057556
32,alta,0.6389807462692261
33,baixa,0.6940361261367798
33,media,0.671642005443573
33,alta,0.6397636532783508
34,baixa,0.6918699741363525
34,media,0.668701708316803
34,alta,0.6380862593650818
35,baixa,0.6927345991134644
35,media,0.6707602739334106
35,alta,0.6378946900367737
36,baixa,0.6933774948120117
36,media,0.6712924242019653
36,alta,0.6383956670761108
37,baixa,0.6910927891731262
37,media,0.6689067482948303
37,alta,0.6360641121864319
38,baixa,0.6934540271759033
38,media,0.6699579358100891
38,alta,0.6383370757102966
39,baixa,0.6923617720603943
39,media,0.668735921382904
39,alta,0.6383489370346069
40,baixa,0.6939512491226196
40,media,0.6709340810775757
40,alta,0.6389553546905518
41,baixa,0.6939877271652222
41,media,0.6714333295822144
41,alta,0.6396818161010742
42,baixa,0.6915087103843689
