posterior_sample,level,risk
1,baixa,0.6929723024368286
1,media,0.6689342856407166
1,alta,0.6383445262908936
2,baixa,0.6891533136367798
2,media,0.6654735207557678
2,alta,0.6345406174659729
3,baixa,0.6899834871292114
3,media,0.6667953133583069
3,alta,0.6363123655319214
4,baixa,0.6899199485778809
4,media,0.6659249663352966
4,alta,0.6347540616989136
5,baixa,0.6914700269699097
5,media,0.6681632399559021
5,alta,0.6367205381393433
6,baixa,0.6911259293556213
6,media,0.668477475643158
6,alta,0.636578381061554
7,baixa,0.689749538898468
7,media,0.6666885614395142
7,alta,0.6357637047767639
8,baixa,0.6906090378761292
8,media,0.6675227880477905
8,alta,0.6371856331825256
9,baixa,0.6893633604049683
9,media,0.6652769446372986
9,alta,0.6350990533828735
10,baixa,0.6902046799659729
10,media,0.6660455465316772
10,alta,0.635739266872406
11,baixa,0.6904731392860413
11,media,0.6666397452354431
11,alta,0.6364233493804932
12,baixa,0.6896403431892395
12,media,0.6655690670013428
12,alta,0.6353742480278015
13,baixa,0.6894486546516418
13,media,0.6655997037887573
13,alta,0.634864866733551
14,baixa,0.6890266537666321
14,media,0.666036069393158
14,alta,0.6341990232467651
15,baixa,0.6918320059776306
15,media,0.6687451004981995
15,alta,0.6369673609733582
16,baixa,0.6910353302955627
16,media,0.6678033471107483
16,alta,0.6367373466491699
17,baixa,0.6893613934516907
17,media,0.6661043763160706
17,alta,0.6357446312904358
18,baixa,0.6899392604827881
18,media,0.6662094593048096
18,alta,0.6350213289260864
19,baixa,0.6900174617767334
19,media,0.6662522554397583
19,alta,0.6361945271492004
20,baixa,0.6892788410186768
20,media,0.6648309826850891
20,alta,0.6348268985748291
21,baixa,0.6899691224098206
21,media,0.6661242842674255
21,alta,0.6350857615470886
22,baixa,0.6904683709144592
22,media,0.6665360927581787
22,alta,0.636940062046051
23,baixa,0.690794825553894
23,media,0.6676376461982727
23,alta,0.6365556716918945
24,baixa,0.6902065873146057
24,media,0.6667608618736267
24,alta,0.6352426409721375
25,baixa,0.6895391941070557
25,media,0.6648037433624268
25,alta,0.635281503200531
26,baixa,0.6908065676689148
26,media,0.6673488616943359
26,alta,0.6360306739807129
27,baixa,0.6919190287590027
27,media,0.6680973172187805
27,alta,0.6374272704124451
28,baixa,0.6893526911735535
28,media,0.6665323972702026
28,alta,0.634977400302887
29,baixa,0.6902099251747131
29,media,0.6663028597831726
29,alta,0.6360438466072083
30,baixa,0.6907386183738708
30,media,0.6672564744949341
30,alta,0.6375520825386047
31,baixa,0.6897458434104919
31,media,0.6669332981109619
31,alta,0.6368721723556519
32,baixa,0.6908241510391235
32,media,0.6675170660018921
32,alta,0.6365836262702942
33,baixa,0.6912495493888855
33,media,0.6682713031768799
33,alta,0.6373918056488037
34,baixa,0.6893287897109985
34,media,0.6656081676483154
34,alta,0.636062741279602
35,baixa,0.6902691125869751
35,media,0.6677044630050659
35,alta,0.6358143091201782
36,baixa,0.6907116174697876
36,media,0.6680365800857544
36,alta,0.6360864043235779
37,baixa,0.687764048576355
37,media,0.6649645566940308
37,alta,0.6330508589744568
38,baixa,0.6913260221481323
38,media,0.6673110723495483
38,alta,0.6365823149681091
39,baixa,0.6895599365234375
39,media,0.6653927564620972
39,alta,0.6360089778900146
40,baixa,0.6913447380065918
40,media,0.6677707433700562
40,alta,0.6366985440254211
41,baixa,0.6919192671775818
41,media,0.6688135862350464
41,alta,0.6380859017372131
42,baixa,0.6885427236557007
42,media,0.6644702553749084
42,alta,0.6330350637435913
43,baixa,0.68967205286026
43,media,0.6660983562469482
43,alta,0.6368775367736816
44,baixa,0.6908623576164246
44,media,0.6673080325126648
44,alta,0.6361141800880432
45,baixa,0.6906493306159973
45,media,0.6667245030403137
45,alta,0.6371911764144897
46,baixa,0.6899670362472534
46,media,0.6666949987411499
46,alta,0.6357709765434265
47,baixa,0.6897160410881042
47,media,0.6659799814224243
47,alta,0.6355112791061401
48,baixa,0.6899399757385254
48,media,0.6667674779891968
48,alta,0.6348929405212402
49,baixa,0.6914858818054199
49,media,0.6684862971305847
49,alta,0.6374415159225464
50,baixa,0.6904120445251465
50,media,0.6664871573448181
50,alta,0.6359959244728088
51,baixa,0.6891828775405884
51,media,0.6656122803688049
51,alta,0.6346855759620667
52,baixa,0.6896562576293945
52,media,0.6662474274635315
52,alta,0.6359629034996033
53,baixa,0.691792368888855
53,media,0.6682684421539307
53,alta,0.6376814246177673
54,baixa,0.6891176104545593
54,media,0.6661872863769531
54,alta,0.6343787312507629
55,baixa,0.6891075968742371
55,media,0.6657359004020691
55,alta,0.6353320479393005
56,baixa,0.6918557286262512
56,media,0.6678849458694458
56,alta,0.6369508504867554
57,baixa,0.6891024708747864
57,media,0.6657145619392395
57,alta,0.6346819400787354
58,baixa,0.690722644329071
58,media,0.6670253276824951
58,alta,0.6359133124351501
59,baixa,0.6892390847206116
59,media,0.6653899550437927
59,alta,0.6344007253646851
60,baixa,0.6918677091598511
60,media,0.6685571670532227
60,alta,0.6371374130249023
61,baixa,0.6910081505775452
61,media,0.6679966449737549
61,alta,0.6354219317436218
62,baixa,0.6902443766593933
62,media,0.666853129863739
62,alta,0.6368448734283447
63,baixa,0.6921030282974243
63,media,0.6685016751289368
63,alta,0.6380117535591125
64,baixa,0.6891946792602539
64,media,0.6651133894920349
64,alta,0.6351150870323181
65,baixa,0.6904183626174927
65,media,0.6675629615783691
65,alta,0.6364573836326599
66,baixa,0.6903080940246582
66,media,0.666748046875
66,alta,0.6366086006164551
67,baixa,0.6902086734771729
67,media,0.6668456792831421
67,alta,0.6362752318382263
68,baixa,0.6907211542129517
68,media,0.6675021648406982
68,alta,0.6361035704612732
69,baixa,0.6910456418991089
69,media,0.6671052575111389
69,alta,0.636805534362793
70,baixa,0.6899346709251404
70,media,0.6663889288902283
70,alta,0.6345702409744263
71,baixa,0.6901761293411255
71,media,0.6670743823051453
71,alta,0.6354376077651978
72,baixa,0.6900120377540588
72,media,0.6659403443336487
72,alta,0.6356644630432129
73,baixa,0.6909141540527344
73,media,0.6668757200241089
73,alta,0.6357613801956177
74,baixa,0.6899562478065491
74,media,0.6658711433410645
74,alta,0.6354804039001465
75,baixa,0.6900756359100342
75,media,0.6668608784675598
75,alta,0.6352691054344177
76,baixa,0.6898637413978577
76,media,0.6659207344055176
76,alta,0.6353539824485779
77,baixa,0.689849317073822
77,media,0.6670783162117004
77,alta,0.6359878778457642
78,baixa,0.6906997561454773
78,media,0.667026937007904
78,alta,0.6350794434547424
79,baixa,0.6882229447364807
79,media,0.6640687584877014
79,alta,0.6330586075782776
80,baixa,0.6905115842819214
80,media,0.66721111536026
80,alta,0.6355322599411011
81,baixa,0.6900937557220459
81,media,0.6662952899932861
81,alta,0.6358391642570496
82,baixa,0.6914512515068054
82,media,0.6676747798919678
82,alta,0.6378141641616821
83,baixa,0.6890819668769836
83,media,0.665730893611908
83,alta,0.6352391242980957
84,baixa,0.6900327205657959
84,media,0.6664382219314575
84,alta,0.6338419914245605
85,baixa,0.6911011338233948
85,media,0.6677625775337219
85,alta,0.636916995048523
86,baixa,0.6896277666091919
86,media,0.6658251285552979
86,alta,0.634594738483429
87,baixa,0.6908798217773438
