ano,escolaridade_grupo,idade_grupo,raca_cor,sexo,sigla_uf,ocupacao,n
2012,alta,adulto,1,1,AC,141405,1
2012,alta,adulto,1,1,AC,142105,1
2012,alta,adulto,1,1,AC,999991,1
2012,alta,adulto,1,1,AL,141405,1
2012,alta,adulto,1,1,AL,141410,2
2012,alta,adulto,1,1,AL,512110,1
2012,alta,adulto,1,1,AL,517410,1
2012,alta,adulto,1,1,AL,622020,2
2012,alta,adulto,1,1,AL,783225,1
2012,alta,adulto,1,1,AM,141410,3
2012,alta,adulto,1,1,AM,21210,1
2012,alta,adulto,1,1,AM,261215,1
2012,alta,adulto,1,1,AM,262710,1
2012,alta,adulto,1,1,AM,314410,1
2012,alta,adulto,1,1,AM,322205,1
2012,alta,adulto,1,1,AM,331205,1
2012,alta,adulto,1,1,AM,352210,1
2012,alta,adulto,1,1,AM,354605,1
2012,alta,adulto,1,1,AM,411010,1
2012,alta,adulto,1,1,AM,422105,1
2012,alta,adulto,1,1,AM,516110,2
2012,alta,adulto,1,1,AM,517315,1
2012,alta,adulto,1,1,AM,519110,3
2012,alta,adulto,1,1,AM,521110,2
2012,alta,adulto,1,1,AM,524305,4
2012,alta,adulto,1,1,AM,612005,1
2012,alta,adulto,1,1,AM,715210,1
2012,alta,adulto,1,1,AM,715230,2
2012,alta,adulto,1,1,AM,717020,1
2012,alta,adulto,1,1,AM,724315,1
2012,alta,adulto,1,1,AM,724440,1
2012,alta,adulto,1,1,AM,731145,4
2012,alta,adulto,1,1,AM,752105,1
2012,alta,adulto,1,1,AM,760605,1
2012,alta,adulto,1,1,AM,782305,1
2012,alta,adulto,1,1,AM,782315,1
2012,alta,adulto,1,1,AM,784205,1
2012,alta,adulto,1,1,AM,821440,1
2012,alta,adulto,1,1,AM,919310,1
2012,alta,adulto,1,1,AM,992115,1
2012,alta,adulto,1,1,AM,999993,1
2012,alta,adulto,1,1,AM,999994,1
2012,alta,adulto,1,1,AP,513205,1
2012,alta,adulto,1,1,AP,517330,1
2012,alta,adulto,1,1,AP,773355,1
2012,alta,adulto,1,1,AP,999991,1
2012,alta,adulto,1,1,AP,999993,1
2012,alta,adulto,1,1,BA,111415,3
2012,alta,adulto,1,1,BA,141410,6
2012,alta,adulto,1,1,BA,142305,1
2012,alta,adulto,1,1,BA,21210,1
2012,alta,adulto,1,1,BA,313315,1
2012,alta,adulto,1,1,BA,317210,1
2012,alta,adulto,1,1,BA,352210,1
2012,alta,adulto,1,1,BA,354705,4
2012,alta,adulto,1,1,BA,391205,1
2012,alta,adulto,1,1,BA,414105,1
2012,alta,adulto,1,1,BA,421125,1
2012,alta,adulto,1,1,BA,516110,1
2012,alta,adulto,1,1,BA,517330,2
2012,alta,adulto,1,1,BA,521110,1
2012,alta,adulto,1,1,BA,621005,6
2012,alta,adulto,1,1,BA,622020,3
2012,alta,adulto,1,1,BA,715210,5
2012,alta,adulto,1,1,BA,715615,2
2012,alta,adulto,1,1,BA,716610,1
2012,alta,adulto,1,1,BA,717020,1
2012,alta,adulto,1,1,BA,724315,1
2012,alta,adulto,1,1,BA,782305,4
2012,alta,adulto,1,1,BA,782310,2
2012,alta,adulto,1,1,BA,782315,1
2012,alta,adulto,1,1,BA,782410,1
2012,alta,adulto,1,1,BA,783225,1
2012,alta,adulto,1,1,BA,821415,1
2012,alta,adulto,1,1,BA,862150,1
2012,alta,adulto,1,1,BA,914415,1
2012,alta,adulto,1,1,BA,999991,2
2012,alta,adulto,1,1,BA,999992,1
2012,alta,adulto,1,1,BA,999993,3
2012,alta,adulto,1,1,BA,999994,1
2012,alta,adulto,1,1,CE,141405,1
2012,alta,adulto,1,1,CE,141410,3
2012,alta,adulto,1,1,CE,142105,1
2012,alta,adulto,1,1,CE,21205,1
2012,alta,adulto,1,1,CE,21210,2
2012,alta,adulto,1,1,CE,231315,1
2012,alta,adulto,1,1,CE,313130,1
2012,alta,adulto,1,1,CE,322410,1
2012,alta,adulto,1,1,CE,352210,1
2012,alta,adulto,1,1,CE,354705,5
2012,alta,adulto,1,1,CE,411005,1
2012,alta,adulto,1,1,CE,412110,1
2012,alta,adulto,1,1,CE,414105,1
2012,alta,adulto,1,1,CE,511215,3
2012,alta,adulto,1,1,CE,512105,1
2012,alta,adulto,1,1,CE,515210,1
2012,alta,adulto,1,1,CE,516110,2
2012,alta,adulto,1,1,CE,517215,1
2012,alta,adulto,1,1,CE,517330,4
2012,alta,adulto,1,1,CE,517420,2
2012,alta,adulto,1,1,CE,521110,2
2012,alta,adulto,1,1,CE,521130,1
2012,alta,adulto,1,1,CE,524305,4
2012,alta,adulto,1,1,CE,612005,1
2012,alta,adulto,1,1,CE,621005,1
2012,alta,adulto,1,1,CE,622005,4
2012,alta,adulto,1,1,CE,622020,2
2012,alta,adulto,1,1,CE,715210,1
2012,alta,adulto,1,1,CE,723310,1
2012,alta,adulto,1,1,CE,724110,2
2012,alta,adulto,1,1,CE,724440,1
2012,alta,adulto,1,1,CE,782305,3
2012,alta,adulto,1,1,CE,782310,2
2012,alta,adulto,1,1,CE,782315,2
2012,alta,adulto,1,1,CE,782505,2
2012,alta,adulto,1,1,CE,782705,1
2012,alta,adulto,1,1,CE,783225,1
2012,alta,adulto,1,1,CE,784205,1
2012,alta,adulto,1,1,CE,848305,1
2012,alta,adulto,1,1,CE,848505,1
2012,alta,adulto,1,1,CE,911105,1
2012,alta,adulto,1,1,CE,914405,1
2012,alta,adulto,1,1,CE,999993,1
2012,alta,adulto,1,1,DF,141410,7
2012,alta,adulto,1,1,DF,141615,1
2012,alta,adulto,1,1,DF,21210,1
2012,alta,adulto,1,1,DF,214365,1
2012,alta,adulto,1,1,DF,252105,1
2012,alta,adulto,1,1,DF,31210,1
2012,alta,adulto,1,1,DF,313130,1
2012,alta,adulto,1,1,DF,354705,8
2012,alta,adulto,1,1,DF,411010,2
2012,alta,adulto,1,1,DF,512105,1
2012,alta,adulto,1,1,DF,513205,1
2012,alta,adulto,1,1,DF,516110,1
2012,alta,adulto,1,1,DF,517330,2
2012,alta,adulto,1,1,DF,519110,1
2012,alta,adulto,1,1,DF,521105,1
2012,alta,adulto,1,1,DF,521110,4
2012,alta,adulto,1,1,DF,521125,1
2012,alta,adulto,1,1,DF,521135,2
2012,alta,adulto,1,1,DF,717020,1
2012,alta,adulto,1,1,DF,723310,1
2012,alta,adulto,1,1,DF,782305,6
2012,alta,adulto,1,1,DF,782505,1
2012,alta,adulto,1,1,DF,999991,1
2012,alta,adulto,1,1,DF,999992,1
2012,alta,adulto,1,1,DF,999993,1
2012,alta,adulto,1,1,DF,999994,1
2012,alta,adulto,1,1,ES,123305,1
2012,alta,adulto,1,1,ES,141410,3
2012,alta,adulto,1,1,ES,262105,1
2012,alta,adulto,1,1,ES,262620,1
2012,alta,adulto,1,1,ES,311605,1
2012,alta,adulto,1,1,ES,342505,1
2012,alta,adulto,1,1,ES,351605,1
2012,alta,adulto,1,1,ES,354705,1
2012,alta,adulto,1,1,ES,411010,1
2012,alta,adulto,1,1,ES,512120,1
2012,alta,adulto,1,1,ES,517330,2
2012,alta,adulto,1,1,ES,521105,1
2012,alta,adulto,1,1,ES,521110,2
2012,alta,adulto,1,1,ES,521125,1
2012,alta,adulto,1,1,ES,521135,1
2012,alta,adulto,1,1,ES,524105,1
2012,alta,adulto,1,1,ES,621005,1
2012,alta,adulto,1,1,ES,631020,1
2012,alta,adulto,1,1,ES,715210,3
2012,alta,adulto,1,1,ES,715615,2
2012,alta,adulto,1,1,ES,723320,1
2012,alta,adulto,1,1,ES,724315,2
2012,alta,adulto,1,1,ES,724410,1
2012,alta,adulto,1,1,ES,725015,1
2012,alta,adulto,1,1,ES,782305,3
2012,alta,adulto,1,1,ES,782410,2
2012,alta,adulto,1,1,ES,782505,1
