raca_cor,sigla_uf,n
1,AC,951
1,AL,5552
1,AM,8580
1,AP,1192
1,BA,26434
1,CE,25931
1,DF,13904
1,ES,12913
1,GO,37830
1,MA,14472
1,MG,130743
1,MS,20767
1,MT,18475
1,PA,15429
1,PB,7238
1,PE,43203
1,PI,7044
1,PR,158533
1,RJ,142708
1,RN,11556
1,RO,6771
1,RR,1376
1,RS,133723
1,SC,97136
1,SE,7127
1,SP,460632
1,TO,4157
2,AC,270
2,AL,1719
2,AM,1460
2,AP,604
2,BA,30374
2,CE,4514
2,DF,3169
2,ES,4076
2,GO,8398
2,MA,9963
2,MG,36775
2,MS,2570
2,MT,4720
2,PA,6970
2,PB,1237
2,PE,10827
2,PI,4137
2,PR,9401
2,RJ,56980
2,RN,1878
2,RO,1500
2,RR,369
2,RS,11501
2,SC,4020
2,SE,3629
2,SP,57539
2,TO,2191
3,AC,16
3,AL,68
3,AM,179
3,AP,68
3,BA,328
3,CE,337
3,DF,220
3,ES,75
3,GO,451
3,MA,271
3,MG,824
3,MS,363
3,MT,434
3,PA,273
3,PB,98
3,PE,269
3,PI,120
3,PR,1248
3,RJ,467
3,RN,87
3,RO,88
3,RR,32
3,RS,124
3,SC,164
3,SE,40
3,SP,6434
3,TO,98
4,AC,4031
4,AL,22527
4,AM,43895
4,AP,5559
4,BA,108072
4,CE,96517
4,DF,17282
4,ES,16870
4,GO,53121
4,MA,61571
4,MG,121512
4,MS,23749
4,MT,30649
4,PA,72695
4,PB,18539
4,PE,101140
4,PI,28571
4,PR,40882
4,RJ,113341
4,RN,18841
4,RO,11498
4,RR,5407
4,RS,10986
4,SC,7209
4,SE,24322
4,SP,178620
4,TO,12639
5,AC,90
5,AL,80
5,AM,1894
5,AP,47
5,BA,294
5,CE,180
5,DF,39
5,ES,43
5,GO,65
5,MA,391
5,MG,251
5,MS,1326
5,MT,327
5,PA,277
5,PB,73
5,PE,417
5,PI,19
5,PR,335
5,RJ,164
5,RN,67
5,RO,123
5,RR,834
5,RS,287
5,SC,167
5,SE,29
5,SP,384
5,TO,113
