method,contrast,treated_level,reference_level,risk_ratio,risk_difference,n_used,n_removed_no_common_support,ci95_low_risk_ratio,ci95_high_risk_ratio,model_type,risk_ratio_away_from_null,e_value_point_estimate,e_value_ci_limit,interpretation
aipw_xgb_3class,alta_vs_baixa,alta,baixa,0.9440412757375966,-0.0378599950286187,,,0.941748618362765,0.9464678577304524,xgb_3class,1.059275717810836,1.3098537067340972,1.301016332682371,maior sensibilidade a confundimento nao observado
aipw_xgb_pair_crossfit3_bootstrap300,alta_vs_baixa,alta,baixa,0.9496323887980757,-0.03381116231957,,,0.9469734816339372,0.9521057145696388,xgb,1.0530390620581858,1.289369771366557,1.2801599780086956,maior sensibilidade a confundimento nao observado
bayesian_conservative,alta_vs_baixa,alta,baixa,0.926413752655662,,,,0.924411675068678,0.928462521840076,,1.0794312985244394,1.3722463078899398,1.365122318168574,maior sensibilidade a confundimento nao observado
bayesian_default,alta_vs_baixa,alta,baixa,0.9209738064087504,,,,0.9193877655255626,0.9226351895833196,,1.0858072108471843,1.3910449678179717,1.3853203508090144,maior sensibilidade a confundimento nao observado
bayesian_weak,alta_vs_baixa,alta,baixa,0.9212319306300838,,,,0.9194579635739268,0.9230987112975458,,1.0855029735194286,1.3901564356696112,1.3837207228488255,maior sensibilidade a confundimento nao observado
gcomp,alta_vs_baixa,alta,baixa,0.9312782904512452,-0.0471427917045235,1033444.0,83074.0,,,,1.073792882593082,1.3552858169883852,,maior sensibilidade a confundimento nao observado
aipw_xgb_3class,alta_vs_media,alta,media,0.9595714801205466,-0.026917344890297,,,0.958876589753168,0.9602870937063896,xgb_3class,1.04213184813952,1.2516716791196267,1.2488775295380452,maior sensibilidade a confundimento nao observado
aipw_xgb_pair_crossfit3_bootstrap300,alta_vs_media,alta,media,0.9615169742609916,-0.0257683231273031,,,0.9608710313418484,0.9621223798438164,xgb,1.0400232411586763,1.2440455462910363,1.2416525809091958,maior sensibilidade a confundimento nao observado
bayesian_conservative,alta_vs_media,alta,media,0.9538903136105852,,,,0.9516088293378904,0.9564410634367172,,1.0483385623393997,1.2734500434958251,1.2637556292014298,maior sensibilidade a confundimento nao observado
bayesian_default,alta_vs_media,alta,media,0.9526146345065536,,,,0.9507413653068204,0.9546794430479354,,1.0497424286558348,1.2782522487170644,1.2704644081171925,maior sensibilidade a confundimento nao observado
bayesian_weak,alta_vs_media,alta,media,0.953791074504167,,,,0.9517771071342972,0.956003310422928,,1.0484476388289279,1.2738246841042313,1.2654285454716436,maior sensibilidade a confundimento nao observado
gcomp,alta_vs_media,alta,media,0.9563537077693472,-0.0292703995156576,2428619.0,40283.0,,,,1.0456382318341775,1.2640897826163306,,maior sensibilidade a confundimento nao observado
aipw_xgb_3class,media_vs_baixa,media,baixa,0.9838290391193822,-0.0109424443159247,,,0.9815341859350348,0.9862557513769932,xgb_3class,1.0164367590685188,1.1456920340757515,1.132805426905549,maior sensibilidade a confundimento nao observado
aipw_xgb_pair_crossfit3_bootstrap300,media_vs_baixa,media,baixa,0.9781277331411676,-0.0149426063145977,,,0.97626738916259,0.9801985518253112,xgb,1.0223613605030824,1.173561198289474,1.1637617872838832,maior sensibilidade a confundimento nao observado
bayesian_conservative,media_vs_baixa,media,baixa,0.9712117722855692,,,,0.96977744199055,0.9725508115340652,,1.0296415555658711,1.2043418056579525,1.1985779584166678,maior sensibilidade a confundimento nao observado
bayesian_default,media_vs_baixa,media,baixa,0.9668201507137948,,,,0.9655463898108516,0.9679910483066578,,1.0343185330402027,1.222723136885847,1.2178939663297963,maior sensibilidade a confundimento nao observado
bayesian_weak,media_vs_baixa,media,baixa,0.9658802287562016,,,,0.9646347818037002,0.9670012612477684,,1.0353250540056458,1.2265655137576228,1.2219793262913667,maior sensibilidade a confundimento nao observado
gcomp,media_vs_baixa,media,baixa,0.9743022760052517,-0.0176551393551718,1946281.0,105671.0,,,,1.0263755146915101,1.190908740718207,,maior sensibilidade a confundimento nao observado
