ano,idade_grupo,raca_cor,sexo,sigla_uf,baixa,media,contrast,level_a,level_b,pair_stratum_n,has_pair_common_support,min_pair_cell_n,alta
2012,adulto,1,1,AC,2.0,3.0,media_vs_baixa,baixa,media,5,False,2,
2012,adulto,1,1,AL,31.0,37.0,media_vs_baixa,baixa,media,68,True,31,
2012,adulto,1,1,AM,8.0,71.0,media_vs_baixa,baixa,media,79,False,8,
2012,adulto,1,1,AP,1.0,2.0,media_vs_baixa,baixa,media,3,False,1,
2012,adulto,1,1,BA,35.0,175.0,media_vs_baixa,baixa,media,210,True,35,
2012,adulto,1,1,CE,40.0,231.0,media_vs_baixa,baixa,media,271,True,40,
2012,adulto,1,1,DF,8.0,104.0,media_vs_baixa,baixa,media,112,False,8,
2012,adulto,1,1,ES,45.0,126.0,media_vs_baixa,baixa,media,171,True,45,
2012,adulto,1,1,GO,36.0,306.0,media_vs_baixa,baixa,media,342,True,36,
2012,adulto,1,1,MA,28.0,176.0,media_vs_baixa,baixa,media,204,True,28,
2012,adulto,1,1,MG,135.0,898.0,media_vs_baixa,baixa,media,1033,True,135,
2012,adulto,1,1,MS,19.0,162.0,media_vs_baixa,baixa,media,181,False,19,
2012,adulto,1,1,MT,14.0,226.0,media_vs_baixa,baixa,media,240,False,14,
2012,adulto,1,1,PA,17.0,158.0,media_vs_baixa,baixa,media,175,False,17,
2012,adulto,1,1,PB,16.0,56.0,media_vs_baixa,baixa,media,72,False,16,
2012,adulto,1,1,PE,76.0,292.0,media_vs_baixa,baixa,media,368,True,76,
2012,adulto,1,1,PI,21.0,89.0,media_vs_baixa,baixa,media,110,True,21,
2012,adulto,1,1,PR,128.0,2260.0,media_vs_baixa,baixa,media,2388,True,128,
2012,adulto,1,1,RJ,93.0,944.0,media_vs_baixa,baixa,media,1037,True,93,
2012,adulto,1,1,RN,45.0,85.0,media_vs_baixa,baixa,media,130,True,45,
2012,adulto,1,1,RO,4.0,43.0,media_vs_baixa,baixa,media,47,False,4,
2012,adulto,1,1,RR,1.0,10.0,media_vs_baixa,baixa,media,11,False,1,
2012,adulto,1,1,RS,163.0,1255.0,media_vs_baixa,baixa,media,1418,True,163,
2012,adulto,1,1,SC,48.0,887.0,media_vs_baixa,baixa,media,935,True,48,
2012,adulto,1,1,SE,13.0,67.0,media_vs_baixa,baixa,media,80,False,13,
2012,adulto,1,1,SP,662.0,3240.0,media_vs_baixa,baixa,media,3902,True,662,
2012,adulto,1,1,TO,7.0,34.0,media_vs_baixa,baixa,media,41,False,7,
2012,adulto,1,2,AC,0.0,10.0,media_vs_baixa,baixa,media,10,False,0,
2012,adulto,1,2,AL,11.0,19.0,media_vs_baixa,baixa,media,30,False,11,
2012,adulto,1,2,AM,4.0,39.0,media_vs_baixa,baixa,media,43,False,4,
2012,adulto,1,2,AP,0.0,10.0,media_vs_baixa,baixa,media,10,False,0,
2012,adulto,1,2,BA,26.0,107.0,media_vs_baixa,baixa,media,133,True,26,
2012,adulto,1,2,CE,16.0,123.0,media_vs_baixa,baixa,media,139,False,16,
2012,adulto,1,2,DF,6.0,81.0,media_vs_baixa,baixa,media,87,False,6,
2012,adulto,1,2,ES,11.0,59.0,media_vs_baixa,baixa,media,70,False,11,
2012,adulto,1,2,GO,27.0,151.0,media_vs_baixa,baixa,media,178,True,27,
2012,adulto,1,2,MA,10.0,80.0,media_vs_baixa,baixa,media,90,False,10,
2012,adulto,1,2,MG,69.0,452.0,media_vs_baixa,baixa,media,521,True,69,
2012,adulto,1,2,MS,17.0,102.0,media_vs_baixa,baixa,media,119,False,17,
2012,adulto,1,2,MT,8.0,101.0,media_vs_baixa,baixa,media,109,False,8,
2012,adulto,1,2,PA,8.0,102.0,media_vs_baixa,baixa,media,110,False,8,
2012,adulto,1,2,PB,4.0,41.0,media_vs_baixa,baixa,media,45,False,4,
