ano,idade_grupo,raca_cor,sexo,sigla_uf,escolaridade_grupo,n
2012,adulto,1,1,AC,baixa,2
2012,adulto,1,1,AC,media,3
2012,adulto,1,1,AC,alta,3
2012,adulto,1,1,AL,baixa,31
2012,adulto,1,1,AL,media,37
2012,adulto,1,1,AL,alta,8
2012,adulto,1,1,AM,baixa,8
2012,adulto,1,1,AM,media,71
2012,adulto,1,1,AM,alta,44
2012,adulto,1,1,AP,baixa,1
2012,adulto,1,1,AP,media,2
2012,adulto,1,1,AP,alta,5
2012,adulto,1,1,BA,baixa,35
2012,adulto,1,1,BA,media,175
2012,adulto,1,1,BA,alta,60
2012,adulto,1,1,CE,baixa,40
2012,adulto,1,1,CE,media,231
2012,adulto,1,1,CE,alta,71
2012,adulto,1,1,DF,baixa,8
2012,adulto,1,1,DF,media,104
2012,adulto,1,1,DF,alta,50
2012,adulto,1,1,ES,baixa,45
2012,adulto,1,1,ES,media,126
2012,adulto,1,1,ES,alta,49
2012,adulto,1,1,GO,baixa,36
2012,adulto,1,1,GO,media,306
2012,adulto,1,1,GO,alta,143
2012,adulto,1,1,MA,baixa,28
2012,adulto,1,1,MA,media,176
2012,adulto,1,1,MA,alta,98
2012,adulto,1,1,MG,baixa,135
2012,adulto,1,1,MG,media,898
2012,adulto,1,1,MG,alta,421
2012,adulto,1,1,MS,baixa,19
2012,adulto,1,1,MS,media,162
2012,adulto,1,1,MS,alta,121
2012,adulto,1,1,MT,baixa,14
2012,adulto,1,1,MT,media,226
2012,adulto,1,1,MT,alta,98
2012,adulto,1,1,PA,baixa,17
2012,adulto,1,1,PA,media,158
2012,adulto,1,1,PA,alta,67
2012,adulto,1,1,PB,baixa,16
2012,adulto,1,1,PB,media,56
2012,adulto,1,1,PB,alta,17
2012,adulto,1,1,PE,baixa,76
2012,adulto,1,1,PE,media,292
2012,adulto,1,1,PE,alta,98
2012,adulto,1,1,PI,baixa,21
2012,adulto,1,1,PI,media,89
2012,adulto,1,1,PI,alta,39
2012,adulto,1,1,PR,baixa,128
2012,adulto,1,1,PR,media,2260
2012,adulto,1,1,PR,alta,1106
2012,adulto,1,1,RJ,baixa,93
2012,adulto,1,1,RJ,media,944
2012,adulto,1,1,RJ,alta,448
2012,adulto,1,1,RN,baixa,45
2012,adulto,1,1,RN,media,85
2012,adulto,1,1,RN,alta,29
2012,adulto,1,1,RO,baixa,4
2012,adulto,1,1,RO,media,43
2012,adulto,1,1,RO,alta,22
2012,adulto,1,1,RR,baixa,1
2012,adulto,1,1,RR,media,10
2012,adulto,1,1,RR,alta,7
2012,adulto,1,1,RS,baixa,163
2012,adulto,1,1,RS,media,1255
2012,adulto,1,1,RS,alta,505
2012,adulto,1,1,SC,baixa,48
2012,adulto,1,1,SC,media,887
2012,adulto,1,1,SC,alta,563
2012,adulto,1,1,SE,baixa,13
2012,adulto,1,1,SE,media,67
2012,adulto,1,1,SE,alta,39
2012,adulto,1,1,SP,baixa,662
2012,adulto,1,1,SP,media,3240
2012,adulto,1,1,SP,alta,2014
2012,adulto,1,1,TO,baixa,7
2012,adulto,1,1,TO,media,34
2012,adulto,1,1,TO,alta,30
2012,adulto,1,2,AC,media,10
2012,adulto,1,2,AL,baixa,11
2012,adulto,1,2,AL,media,19
2012,adulto,1,2,AL,alta,5
2012,adulto,1,2,AM,baixa,4
2012,adulto,1,2,AM,media,39
2012,adulto,1,2,AM,alta,51
2012,adulto,1,2,AP,media,10
2012,adulto,1,2,AP,alta,4
2012,adulto,1,2,BA,baixa,26
2012,adulto,1,2,BA,media,107
2012,adulto,1,2,BA,alta,50
2012,adulto,1,2,CE,baixa,16
2012,adulto,1,2,CE,media,123
2012,adulto,1,2,CE,alta,62
2012,adulto,1,2,DF,baixa,6
2012,adulto,1,2,DF,media,81
2012,adulto,1,2,DF,alta,39
2012,adulto,1,2,ES,baixa,11
2012,adulto,1,2,ES,media,59
2012,adulto,1,2,ES,alta,39
2012,adulto,1,2,GO,baixa,27
2012,adulto,1,2,GO,media,151
2012,adulto,1,2,GO,alta,86
2012,adulto,1,2,MA,baixa,10
2012,adulto,1,2,MA,media,80
2012,adulto,1,2,MA,alta,58
2012,adulto,1,2,MG,baixa,69
2012,adulto,1,2,MG,media,452
2012,adulto,1,2,MG,alta,226
2012,adulto,1,2,MS,baixa,17
2012,adulto,1,2,MS,media,102
2012,adulto,1,2,MS,alta,71
2012,adulto,1,2,MT,baixa,8
