subcategoria,descricao_subcategoria,categoria,descricao_categoria,capitulo,descricao_capitulo,causa_violencia,causa_overdose,cid_datasus
A000,"Cólera devida a Vibrio cholerae 01, biótipo cholerae",A00,Cólera,I,Algumas doenças infecciosas e parasitárias,0,0,0
A001,"Cólera devida a Vibrio cholerae 01, biótipo El Tor",A00,Cólera,I,Algumas doenças infecciosas e parasitárias,0,0,0
A009,Cólera não especificada,A00,Cólera,I,Algumas doenças infecciosas e parasitárias,0,0,0
A013,Febre paratifóide C,A01,Febres tifóide e paratifóide,I,Algumas doenças infecciosas e parasitárias,0,0,0
A010,Febre tifóide,A01,Febres tifóide e paratifóide,I,Algumas doenças infecciosas e parasitárias,0,0,0
A012,Febre paratifóide B,A01,Febres tifóide e paratifóide,I,Algumas doenças infecciosas e parasitárias,0,0,0
A014,Febre paratifóide não especificada,A01,Febres tifóide e paratifóide,I,Algumas doenças infecciosas e parasitárias,0,0,0
A011,Febre paratifóide A,A01,Febres tifóide e paratifóide,I,Algumas doenças infecciosas e parasitárias,0,0,0
A029,Infecção não especificada por salmonela,A02,Outras infecções por Salmonella,I,Algumas doenças infecciosas e parasitárias,0,0,0
A022,Infecções localizadas por salmonela,A02,Outras infecções por Salmonella,I,Algumas doenças infecciosas e parasitárias,0,0,0
A021,Septicemia por salmonela,A02,Outras infecções por Salmonella,I,Algumas doenças infecciosas e parasitárias,0,0,0
A028,Outras infecções especificadas por salmonela,A02,Outras infecções por Salmonella,I,Algumas doenças infecciosas e parasitárias,0,0,0
A020,Enterite por salmonela,A02,Outras infecções por Salmonella,I,Algumas doenças infecciosas e parasitárias,0,0,0
A032,Shiguelose devida a Shigella boydii,A03,Shiguelose,I,Algumas doenças infecciosas e parasitárias,0,0,0
A039,Shiguelose não especificada,A03,Shiguelose,I,Algumas doenças infecciosas e parasitárias,0,0,0
A038,Outras shigueloses,A03,Shiguelose,I,Algumas doenças infecciosas e parasitárias,0,0,0
A030,Shiguelose devida a Shigella dysenteriae,A03,Shiguelose,I,Algumas doenças infecciosas e parasitárias,0,0,0
A031,Shiguelose devida a Shigella flexneri,A03,Shiguelose,I,Algumas doenças infecciosas e parasitárias,0,0,0
