id_tabela,nome_coluna,chave,cobertura_temporal,valor
microdados,gravidez,1,1996(1)2019,Única
microdados,fonte,1,1996(1)2019,Boletim de ocorrência
microdados,parto,1,1996(1)2019,Vaginal
microdados,tipo_morte_ocorrencia,1,1996(1)2019,Na gravidez
microdados,gestacao,1,1996(1)2019,Menos de 22 semanas
microdados,naturalidade,1,1996(1)2019,ABU DABI
microdados,tipo_obito_ocorrencia,1,1996(1)2019,Durante a gestação
microdados,obito_puerperio,1,1996(1)2019,0 a 42 dias
microdados,tipo_obito,1,1996(1)2019,Fetal
microdados,estado_civil,1,1996(1)2019,Solteiro(a)
microdados,circunstancia_obito,1,1996(1)2019,Acidente
microdados,tipo_resgate_informacao,1,1996(1)2019,Não acrescentou nem corrigiu informação
microdados,fonte_investigacao,1,1996(1)2019,Comitê de mortalidade materna e/ou infantil
microdados,tipo_resgate_informacao,2,1996(1)2019,"Sim, permitiu o resgate de novas informações"
microdados,tipo_obito,2,1996(1)2019,Não-fetal
microdados,atestante,2,1996(1)2019,Substituto
microdados,fonte_investigacao,2,1996(1)2019,Visita familiar / entrevista família
microdados,gravidez,2,1996(1)2019,Dupla
microdados,gestacao,2,1996(1)2019,22 a 27 semanas
microdados,circunstancia_obito,2,1996(1)2019,Suicídio
microdados,estado_civil,2,1996(1)2019,Casado(a)
microdados,local_ocorrencia,2,1996(1)2019,Outro estabelecimento de saúde
microdados,obito_puerperio,2,1996(1)2019,43 dias a 1 ano
microdados,tipo_morte_ocorrencia,2,1996(1)2019,No parto
microdados,parto,2,1996(1)2019,Cesáreo
microdados,tipo_obito_ocorrencia,2,1996(1)2019,Durante o abortamento
microdados,naturalidade,2,1996(1)2019,ACORES
microdados,naturalidade,3,1996(1)2019,AFEGANISTAO
microdados,fonte,3,1996(1)2019,Família
microdados,gravidez,3,1996(1)2019,Tripla ou mais
microdados,gestacao,3,1996(1)2019,28 a 31 semanas
microdados,circunstancia_obito,3,1996(1)2019,Homicídio
