column,dtype,n_rows,n_missing_or_ignored,pct_missing_or_ignored,n_unique_non_missing
assistencia_medica,string,2966705,984464,0.33183750996475886,2
necropsia,string,2966705,834550,0.28130535391958417,2
codigo_estabelecimento,string,2966705,769093,0.2592414817111914,14591
sequencial_obito,string,2966705,582905,0.19648229264453324,1358469
naturalidade,string,2966705,510483,0.17207069796289148,175
atestante,string,2966705,225662,0.07606485983608077,5
hora_obito,string,2966705,145793,0.04914307287040673,1440
ano,int64,2966705,0,0.0,5
data_nascimento,object,2966705,0,0.0,28395
data_obito,object,2966705,0,0.0,1794
sigla_uf,object,2966705,0,0.0,27
causa_basica,string,2966705,0,0.0,6060
idade,float64,2966705,0,0.0,70
escolaridade,string,2966705,0,0.0,6
sexo,string,2966705,0,0.0,3
raca_cor,string,2966705,0,0.0,5
ocupacao,string,2966705,0,0.0,2335
id_municipio_ocorrencia,string,2966705,0,0.0,5561
id_municipio_residencia,string,2966705,0,0.0,5570
estado_civil,string,2966705,0,0.0,5
local_ocorrencia,string,2966705,0,0.0,5
morte_evitavel,int64,2966705,0,0.0,3
escolaridade_grupo,string,2966705,0,0.0,3
escolaridade_nivel,int64,2966705,0,0.0,3
