cid_chapter_initial,outcome_label,n,share
A,Avoidable,62216,0.9583192138258217
A,Non-avoidable,2706,0.041680786174178246
B,Avoidable,52263,0.1358549715750318
B,Non-avoidable,332434,0.8641450284249682
C,Avoidable,332590,0.6061892949511262
C,Non-avoidable,216067,0.3938107050488739
D,Non-avoidable,23568,1.0
E,Avoidable,147673,0.8959218094013153
E,Non-avoidable,17155,0.10407819059868469
F,Avoidable,23965,0.6184196944673823
F,Non-avoidable,14787,0.3815803055326177
G,Avoidable,10731,0.21268878582471162
G,Non-avoidable,39723,0.7873112141752884
H,Non-avoidable,429,1.0
I,Avoidable,555102,0.8327375228585702
I,Non-avoidable,111497,0.16726247714142986
J,Avoidable,177457,0.825896139919764
J,Non-avoidable,37409,0.17410386008023607
K,Avoidable,67386,0.4278992386383119
K,Non-avoidable,90095,0.5721007613616881
L,Avoidable,6537,0.5979692645444566
L,Non-avoidable,4395,0.40203073545554335
M,Non-avoidable,12142,1.0
N,Avoidable,35672,0.5547054798780867
N,Non-avoidable,28636,0.4452945201219133
O,Avoidable,7743,1.0
P,Non-avoidable,163,1.0
Q,Non-avoidable,5058,1.0
R,Ill-defined,148019,0.9998581464469063
R,Non-avoidable,21,0.00014185355309375845
V,Avoidable,109167,1.0
W,Avoidable,51162,1.0
X,Avoidable,180060,0.9998611766665741
X,Non-avoidable,25,0.00013882333342588222
Y,Avoidable,61386,0.979793143076039
Y,Non-avoidable,1266,0.020206856923960927
