sigla_uf,outcome_label,n,share
AC,Avoidable,3259,0.6082493467711833
AC,Ill-defined,569,0.10619634191862636
AC,Non-avoidable,1530,0.2855543113101904
AL,Avoidable,21349,0.7129165831830628
AL,Ill-defined,1804,0.060241768516663324
AL,Non-avoidable,6793,0.2268416483002738
AM,Avoidable,34664,0.61891158405942
AM,Ill-defined,4691,0.08375589201542637
AM,Non-avoidable,16653,0.2973325239251535
AP,Avoidable,4972,0.6655957161981259
AP,Ill-defined,421,0.05635876840696118
AP,Non-avoidable,2077,0.278045515394913
BA,Avoidable,106453,0.6432127708426484
BA,Ill-defined,16188,0.09781150680958538
BA,Non-avoidable,42861,0.25897572234776617
CE,Avoidable,83311,0.6535272476250991
CE,Ill-defined,3773,0.029597031667961
CE,Non-avoidable,40395,0.31687572070694
DF,Avoidable,21586,0.6236205003755706
DF,Ill-defined,858,0.024787658172993585
DF,Non-avoidable,12170,0.35159184145143585
ES,Avoidable,24162,0.7111281160785237
ES,Ill-defined,308,0.009064955705330077
ES,Non-avoidable,9507,0.2798069282161462
GO,Avoidable,65226,0.6531417413508236
GO,Ill-defined,2186,0.021889550893706505
GO,Non-avoidable,32453,0.3249687077554699
MA,Avoidable,61095,0.7049314625928832
MA,Ill-defined,3695,0.0426339594775465
MA,Non-avoidable,21878,0.2524345779295703
MG,Avoidable,176026,0.606766515571948
MG,Ill-defined,18455,0.06361489805415281
MG,Non-avoidable,95624,0.3296185863738991
MS,Avoidable,31876,0.6535315222962583
MS,Ill-defined,1051,0.021547924141465915
MS,Non-avoidable,15848,0.3249205535622758
MT,Avoidable,34705,0.6355645087446204
MT,Ill-defined,2688,0.04922626133137991
MT,Non-avoidable,17212,0.31520922992399963
PA,Avoidable,63733,0.6663564886453933
PA,Ill-defined,5834,0.06099703065534691
PA,Non-avoidable,26077,0.27264648069925973
PB,Avoidable,17544,0.6453558947949237
PB,Ill-defined,1269,0.04668015449696524
PB,Non-avoidable,8372,0.3079639507081111
PE,Avoidable,105668,0.6779848064880403
PE,Ill-defined,5616,0.03603326147212812
PE,Non-avoidable,44572,0.28598193203983163
PI,Avoidable,28245,0.7080544483718132
PI,Ill-defined,1738,0.043568724775011905
PI,Non-avoidable,9908,0.24837682685317491
PR,Avoidable,136652,0.6494897789438163
PR,Ill-defined,5645,0.026829975427639867
PR,Non-avoidable,68102,0.32368024562854386
RJ,Avoidable,191800,0.6114901485685137
RJ,Ill-defined,25887,0.08253204106357202
RJ,Non-avoidable,95973,0.3059778103679143
RN,Avoidable,22144,0.682845601159456
RN,Ill-defined,851,0.026241943939066883
RN,Non-avoidable,9434,0.29091245490147705
RO,Avoidable,12543,0.6277777777777778
RO,Ill-defined,999,0.05
RO,Non-avoidable,6438,0.32222222222222224
RR,Avoidable,5283,0.6588924918932402
RR,Ill-defined,207,0.025816911948116736
RR,Non-avoidable,2528,0.3152905961586431
RS,Avoidable,102310,0.6532329636511068
RS,Ill-defined,6418,0.04097790206932659
RS,Non-avoidable,47893,0.3057891342795666
SC,Avoidable,70263,0.6464175314638994
SC,Ill-defined,2578,0.023717524103922867
SC,Non-avoidable,35855,0.32986494443217784
SE,Avoidable,23561,0.6703559336500982
SE,Ill-defined,1878,0.053432725410419095
SE,Non-avoidable,9708,0.27621134093948274
SP,Avoidable,419254,0.595862190506375
SP,Ill-defined,31981,0.045452801200666845
SP,Non-avoidable,252374,0.3586850082929582
TO,Avoidable,13426,0.6993436816335035
TO,Ill-defined,431,0.022450255234920304
TO,Non-avoidable,5341,0.2782060631315762
