ano,outcome_label,n,share
2012,Avoidable,314481,0.7300048979440241
2012,Ill-defined,21232,0.049285851905671633
2012,Non-avoidable,95080,0.2207092501503042
2019,Avoidable,383350,0.7171372129393365
2019,Ill-defined,26780,0.05009765113477353
2019,Non-avoidable,124426,0.2327651359258899
2020,Avoidable,380193,0.6093647071645748
2020,Ill-defined,32885,0.05270733126361359
2020,Non-avoidable,210839,0.33792796157181165
2021,Avoidable,405776,0.5107094221266806
2021,Ill-defined,34491,0.04341035122474306
2021,Non-avoidable,354267,0.4458802266485764
2022,Avoidable,397310,0.6816033487446497
2022,Ill-defined,32631,0.05597996242955541
2022,Non-avoidable,152964,0.26241668882579494
