outcome_label,causa_basica,n,share_within_outcome
Avoidable,I219,194767,0.10353833640775925
Avoidable,C349,65585,0.03486505308036213
Avoidable,E149,54986,0.029230613839701027
Avoidable,I64,54375,0.028905805614770002
Avoidable,J189,53006,0.0281780438145563
Avoidable,I10,50522,0.026857546873920186
Avoidable,X954,49941,0.02654868667967317
Avoidable,C509,46989,0.024979400460366487
Avoidable,I619,34589,0.018387547777641924
Avoidable,A419,32787,0.01742960273455566
Avoidable,C169,32613,0.017337104156588398
Avoidable,J449,24317,0.012926942071436546
Avoidable,C189,23424,0.012452222358075816
Avoidable,K703,23248,0.012358660578062952
Avoidable,J440,22737,0.012087012455411964
Ill-defined,R99,103269,0.6976739472635269
Ill-defined,R98,17800,0.1202548321499267
Ill-defined,R092,8817,0.059566677250893464
Ill-defined,R960,7219,0.048770765915186566
Ill-defined,R570,2491,0.016828920611543112
Ill-defined,R688,1520,0.010268951958870145
Ill-defined,R961,1213,0.008194893898756241
Ill-defined,R100,781,0.0052763496578141994
Ill-defined,R571,743,0.005019625858842446
Ill-defined,R54,525,0.003546841959478175
Ill-defined,R64,427,0.0028847647937089156
Ill-defined,R579,423,0.0028577412359224153
Ill-defined,R568,409,0.002763158783669664
Ill-defined,R578,301,0.0020335227234341536
Ill-defined,R58,232,0.0015673663516170221
Non-avoidable,B342,325038,0.34667909588129386
Non-avoidable,K746,26013,0.02774495080932106
Non-avoidable,C259,21919,0.02337837146002031
Non-avoidable,C61,20918,0.02231072467725283
Non-avoidable,C80,13672,0.014582284529467478
Non-avoidable,I269,13284,0.014168451410872291
Non-avoidable,C719,12852,0.01370768876336425
Non-avoidable,J988,12268,0.013084805925066341
Non-avoidable,C56,11395,0.012153681408227174
Non-avoidable,I420,10888,0.011612925245526763
Non-avoidable,N179,8967,0.009564024676399567
Non-avoidable,C64,8857,0.009446700854117427
Non-avoidable,G309,8369,0.008926209715265749
Non-avoidable,C710,7935,0.008463313907352577
Non-avoidable,C900,7861,0.008384386972362774
