ano,sigla_uf,n
2012,AC,435
2012,AL,5068
2012,AM,7585
2012,AP,608
2012,BA,18252
2012,CE,15193
2012,DF,5750
2012,ES,6263
2012,GO,12060
2012,MA,12716
2012,MG,37776
2012,MS,7658
2012,MT,8616
2012,PA,15160
2012,PB,4474
2012,PE,22563
2012,PI,7048
2012,PR,34969
2012,RJ,50503
2012,RN,4558
2012,RO,1626
2012,RR,818
2012,RS,27122
2012,SC,16364
2012,SE,5178
2012,SP,99806
2012,TO,2624
2019,AC,1198
2019,AL,4836
2019,AM,9574
2019,AP,1517
2019,BA,32120
2019,CE,23836
2019,DF,5933
2019,ES,5513
2019,GO,17631
2019,MA,15554
2019,MG,56438
2019,MS,8763
2019,MT,9649
2019,PA,16903
2019,PB,4719
2019,PE,28804
2019,PI,7010
2019,PR,36246
2019,RJ,56567
2019,RN,6415
2019,RO,3534
2019,RR,1467
2019,RS,28539
2019,SC,19826
2019,SE,6341
2019,SP,122415
2019,TO,3208
2020,AC,1453
2020,AL,5976
2020,AM,12789
2020,AP,1714
2020,BA,37354
2020,CE,29263
2020,DF,7642
2020,ES,6476
2020,GO,20900
2020,MA,19038
2020,MG,60865
2020,MS,9711
2020,MT,11611
2020,PA,21182
2020,PB,5404
2020,PE,34429
2020,PI,7757
2020,PR,40262
2020,RJ,69508
2020,RN,7062
2020,RO,4567
2020,RR,1677
2020,RS,29482
2020,SC,21634
2020,SE,7791
2020,SP,144452
2020,TO,3918
2021,AC,1346
2021,AL,7224
2021,AM,16186
2021,AP,2171
2021,BA,43347
2021,CE,33040
2021,DF,9324
2021,ES,8850
2021,GO,29693
2021,MA,21404
2021,MG,79593
2021,MS,13725
2021,MT,14798
2021,PA,23438
2021,PB,7522
2021,PE,38862
2021,PI,9668
2021,PR,58304
2021,RJ,79691
2021,RN,8276
2021,RO,5974
2021,RR,2435
2021,RS,40260
2021,SC,29241
2021,SE,8701
2021,SP,196106
2021,TO,5355
2022,AC,926
2022,AL,6842
2022,AM,9874
2022,AP,1460
2022,BA,34429
2022,CE,26147
2022,DF,5965
2022,ES,6875
2022,GO,19581
2022,MA,17956
2022,MG,55433
2022,MS,8918
2022,MT,9931
2022,PA,18961
2022,PB,5066
2022,PE,31198
2022,PI,8408
2022,PR,40618
2022,RJ,57391
2022,RN,6118
2022,RO,4279
2022,RR,1621
2022,RS,31218
2022,SC,21631
2022,SE,7136
2022,SP,140830
2022,TO,4093
