education,race,outcome_label,n,share
High,Asian,Avoidable,2404,0.5810974135847232
High,Asian,Ill-defined,131,0.031665458061397145
High,Asian,Non-avoidable,1602,0.38723712835387963
High,Black,Avoidable,39509,0.60797107024698
High,Black,Ill-defined,3730,0.05739786104485651
High,Black,Non-avoidable,21746,0.33463106870816345
High,Brown,Avoidable,196012,0.6465351465994663
High,Brown,Ill-defined,14343,0.047309621899047735
High,Brown,Non-avoidable,92818,0.30615523150148594
High,Indigenous,Avoidable,1095,0.6709558823529411
High,Indigenous,Ill-defined,104,0.06372549019607843
High,Indigenous,Non-avoidable,433,0.2653186274509804
High,White,Avoidable,253018,0.5924051107109994
High,White,Ill-defined,15988,0.03743359330184991
High,White,Non-avoidable,158097,0.37016129598715064
Low,Asian,Avoidable,701,0.6220053238686779
Low,Asian,Ill-defined,81,0.07187222715173026
Low,Asian,Non-avoidable,345,0.30612244897959184
Low,Black,Avoidable,30368,0.661122480080115
Low,Black,Ill-defined,3599,0.07835154787303522
Low,Black,Non-avoidable,11967,0.26052597204684985
Low,Brown,Avoidable,136055,0.663359336908825
Low,Brown,Ill-defined,14889,0.0725938566552901
Low,Brown,Non-avoidable,54156,0.2640468064358849
Low,Indigenous,Avoidable,1581,0.6455696202531646
Low,Indigenous,Ill-defined,228,0.09309922417313189
Low,Indigenous,Non-avoidable,640,0.26133115557370357
Low,White,Avoidable,76491,0.6338227739016589
Low,White,Ill-defined,6711,0.055608955768051575
Low,White,Non-avoidable,37480,0.3105682703302895
Medium,Asian,Avoidable,4640,0.5864509605662285
Medium,Asian,Ill-defined,317,0.04006572295247725
Medium,Asian,Non-avoidable,2955,0.37348331648129424
Medium,Black,Avoidable,109671,0.6456096354902515
Medium,Black,Ill-defined,10951,0.06446618630498258
Medium,Black,Non-avoidable,49250,0.28992417820476596
Medium,Brown,Avoidable,494711,0.6669313481770679
Medium,Brown,Ill-defined,41144,0.05546717859396149
Medium,Brown,Non-avoidable,205917,0.2776014732289706
Medium,Indigenous,Avoidable,2777,0.6557260920897284
Medium,Indigenous,Ill-defined,294,0.06942148760330578
Medium,Indigenous,Non-avoidable,1164,0.2748524203069658
Medium,White,Avoidable,532077,0.6139878974188545
Medium,White,Ill-defined,35509,0.04097545326982017
Medium,White,Non-avoidable,299006,0.34503664931132527
