education,sex,outcome_label,n,share
High,Female,Avoidable,172237,0.5769407272179141
High,Female,Ill-defined,11177,0.03743949620647495
High,Female,Non-avoidable,115121,0.3856197765756109
High,Male,Avoidable,319785,0.6364298550949614
High,Male,Ill-defined,23119,0.04601098181572123
High,Male,Non-avoidable,159563,0.3175591630893173
Low,Female,Avoidable,110669,0.6490812370601932
Low,Female,Ill-defined,9909,0.058116961190843454
Low,Female,Non-avoidable,49923,0.29280180174896336
Low,Male,Avoidable,134521,0.6569081790613295
Low,Male,Ill-defined,15598,0.07616991976716363
Low,Male,Non-avoidable,54660,0.2669219011715068
Medium,Female,Avoidable,420464,0.6079926427314438
Medium,Female,Ill-defined,29420,0.04254143886078018
Medium,Female,Non-avoidable,241677,0.349465918407776
Medium,Male,Avoidable,723378,0.6583513231134394
Medium,Male,Ill-defined,58792,0.05350700600306524
Medium,Male,Non-avoidable,316602,0.2881416708834954
