race,sigla_uf,outcome_label,n,share
Asian,AC,Avoidable,11,0.6875
Asian,AC,Ill-defined,3,0.1875
Asian,AC,Non-avoidable,2,0.125
Asian,AL,Avoidable,41,0.6029411764705882
Asian,AL,Ill-defined,8,0.11764705882352941
Asian,AL,Non-avoidable,19,0.27941176470588236
Asian,AM,Avoidable,120,0.6703910614525139
Asian,AM,Ill-defined,10,0.055865921787709494
Asian,AM,Non-avoidable,49,0.2737430167597765
Asian,AP,Avoidable,39,0.5735294117647058
Asian,AP,Ill-defined,2,0.029411764705882353
Asian,AP,Non-avoidable,27,0.39705882352941174
Asian,BA,Avoidable,192,0.5853658536585366
Asian,BA,Ill-defined,44,0.13414634146341464
Asian,BA,Non-avoidable,92,0.2804878048780488
Asian,CE,Avoidable,194,0.5756676557863502
Asian,CE,Ill-defined,13,0.03857566765578635
Asian,CE,Non-avoidable,130,0.3857566765578635
Asian,DF,Avoidable,116,0.5272727272727272
Asian,DF,Ill-defined,2,0.00909090909090909
Asian,DF,Non-avoidable,102,0.4636363636363636
Asian,ES,Avoidable,54,0.72
Asian,ES,Ill-defined,2,0.02666666666666667
Asian,ES,Non-avoidable,19,0.25333333333333335
Asian,GO,Avoidable,246,0.5454545454545454
Asian,GO,Ill-defined,6,0.013303769401330377
Asian,GO,Non-avoidable,199,0.44124168514412415
Asian,MA,Avoidable,183,0.6752767527675276
Asian,MA,Ill-defined,8,0.02952029520295203
Asian,MA,Non-avoidable,80,0.2952029520295203
Asian,MG,Avoidable,491,0.595873786407767
Asian,MG,Ill-defined,53,0.06432038834951456
Asian,MG,Non-avoidable,280,0.33980582524271846
Asian,MS,Avoidable,216,0.5950413223140496
Asian,MS,Ill-defined,11,0.030303030303030304
Asian,MS,Non-avoidable,136,0.3746556473829201
Asian,MT,Avoidable,219,0.5046082949308756
Asian,MT,Ill-defined,12,0.027649769585253458
Asian,MT,Non-avoidable,203,0.46774193548387094
Asian,PA,Avoidable,175,0.6410256410256411
Asian,PA,Ill-defined,14,0.05128205128205128
Asian,PA,Non-avoidable,84,0.3076923076923077
Asian,PB,Avoidable,62,0.6326530612244898
Asian,PB,Ill-defined,9,0.09183673469387756
Asian,PB,Non-avoidable,27,0.2755102040816326
Asian,PE,Avoidable,187,0.6951672862453532
Asian,PE,Ill-defined,8,0.02973977695167286
Asian,PE,Non-avoidable,74,0.275092936802974
Asian,PI,Avoidable,81,0.675
Asian,PI,Ill-defined,7,0.058333333333333334
Asian,PI,Non-avoidable,32,0.26666666666666666
Asian,PR,Avoidable,717,0.5745192307692307
Asian,PR,Ill-defined,38,0.030448717948717948
Asian,PR,Non-avoidable,493,0.39503205128205127
Asian,RJ,Avoidable,272,0.582441113490364
Asian,RJ,Ill-defined,37,0.07922912205567452
Asian,RJ,Non-avoidable,158,0.33832976445396146
Asian,RN,Avoidable,49,0.5632183908045977
Asian,RN,Non-avoidable,38,0.4367816091954023
Asian,RO,Avoidable,49,0.5568181818181818
Asian,RO,Ill-defined,7,0.07954545454545454
