raca_cor,outcome_label,n,share
Asian,Avoidable,7745,0.5878111718275653
Asian,Ill-defined,529,0.040148755312689736
Asian,Non-avoidable,4902,0.372040072859745
Black,Avoidable,179548,0.6394364491739407
Black,Ill-defined,18280,0.0651018016959233
Black,Non-avoidable,82963,0.29546174913013595
Brown,Avoidable,826778,0.6613985896507726
Brown,Ill-defined,70376,0.05629877324416321
Brown,Non-avoidable,352891,0.2823026371050642
Indigenous,Avoidable,5453,0.6557239057239057
Indigenous,Ill-defined,626,0.07527657527657527
Indigenous,Non-avoidable,2237,0.268999518999519
White,Avoidable,861586,0.6091629035257219
White,Ill-defined,58208,0.0411545153802699
White,Non-avoidable,494583,0.3496825810940082
